 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 20, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\144Cs_Si.txt

 Ion = Cesium [55] , Mass = 144 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.358E-01  5.237E+00     125 A        38 A        28 A   
  11.00 keV   2.473E-01  5.414E+00     132 A        40 A        30 A   
  12.00 keV   2.583E-01  5.577E+00     138 A        41 A        31 A   
  13.00 keV   2.689E-01  5.728E+00     144 A        43 A        32 A   
  14.00 keV   2.790E-01  5.868E+00     150 A        44 A        34 A   
  15.00 keV   2.888E-01  6.000E+00     156 A        46 A        35 A   
  16.00 keV   2.983E-01  6.122E+00     162 A        47 A        36 A   
  17.00 keV   3.075E-01  6.238E+00     168 A        49 A        37 A   
  18.00 keV   3.164E-01  6.347E+00     173 A        50 A        38 A   
  20.00 keV   3.335E-01  6.547E+00     184 A        53 A        40 A   
  22.50 keV   3.537E-01  6.771E+00     198 A        56 A        43 A   
  25.00 keV   3.729E-01  6.969E+00     211 A        59 A        46 A   
  27.50 keV   3.910E-01  7.146E+00     223 A        62 A        48 A   
  30.00 keV   4.084E-01  7.306E+00     236 A        65 A        51 A   
  32.50 keV   4.251E-01  7.451E+00     248 A        67 A        53 A   
  35.00 keV   4.412E-01  7.583E+00     260 A        70 A        55 A   
  37.50 keV   4.566E-01  7.705E+00     271 A        73 A        57 A   
  40.00 keV   4.716E-01  7.816E+00     283 A        75 A        60 A   
  45.00 keV   5.002E-01  8.015E+00     305 A        80 A        64 A   
  50.00 keV   5.273E-01  8.186E+00     327 A        85 A        68 A   
