 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 15, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\144Nd_208Pb.txt.txt

 Ion = Neodymium [60] , Mass = 141.907 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.141E-01  1.342E+00      50 A        41 A        31 A   
  11.00 keV   1.196E-01  1.396E+00      53 A        42 A        32 A   
  12.00 keV   1.249E-01  1.446E+00      56 A        44 A        33 A   
  13.00 keV   1.300E-01  1.492E+00      58 A        46 A        35 A   
  14.00 keV   1.350E-01  1.536E+00      61 A        48 A        36 A   
  15.00 keV   1.397E-01  1.578E+00      63 A        50 A        37 A   
  16.00 keV   1.443E-01  1.617E+00      65 A        51 A        38 A   
  17.00 keV   1.487E-01  1.654E+00      68 A        53 A        39 A   
  18.00 keV   1.530E-01  1.690E+00      70 A        54 A        41 A   
  20.00 keV   1.613E-01  1.756E+00      75 A        58 A        43 A   
  22.50 keV   1.711E-01  1.830E+00      80 A        61 A        45 A   
  25.00 keV   1.803E-01  1.898E+00      85 A        65 A        48 A   
  27.50 keV   1.891E-01  1.960E+00      90 A        68 A        50 A   
  30.00 keV   1.976E-01  2.016E+00      95 A        72 A        53 A   
  32.50 keV   2.056E-01  2.069E+00     100 A        75 A        55 A   
  35.00 keV   2.134E-01  2.117E+00     105 A        78 A        57 A   
  37.50 keV   2.209E-01  2.162E+00     110 A        81 A        59 A   
  40.00 keV   2.281E-01  2.205E+00     114 A        84 A        61 A   
  45.00 keV   2.420E-01  2.282E+00     123 A        90 A        65 A   
  50.00 keV   2.550E-01  2.350E+00     132 A        96 A        69 A   
