 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 15, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\144Nd_Si.txt.txt

 Ion = Neodymium [60] , Mass = 141.907 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.701E-01  5.463E+00     115 A        35 A        26 A   
  11.00 keV   5.979E-01  5.651E+00     121 A        36 A        27 A   
  12.00 keV   6.245E-01  5.825E+00     127 A        38 A        28 A   
  13.00 keV   6.500E-01  5.987E+00     133 A        39 A        29 A   
  14.00 keV   6.746E-01  6.137E+00     138 A        40 A        30 A   
  15.00 keV   6.982E-01  6.277E+00     144 A        42 A        32 A   
  16.00 keV   7.211E-01  6.409E+00     149 A        43 A        33 A   
  17.00 keV   7.433E-01  6.533E+00     154 A        44 A        34 A   
  18.00 keV   7.649E-01  6.650E+00     159 A        45 A        35 A   
  20.00 keV   8.063E-01  6.866E+00     169 A        48 A        37 A   
  22.50 keV   8.552E-01  7.107E+00     181 A        51 A        39 A   
  25.00 keV   9.014E-01  7.322E+00     193 A        53 A        41 A   
  27.50 keV   9.454E-01  7.514E+00     204 A        56 A        43 A   
  30.00 keV   9.875E-01  7.688E+00     215 A        58 A        45 A   
  32.50 keV   1.028E+00  7.846E+00     226 A        61 A        48 A   
  35.00 keV   1.067E+00  7.991E+00     236 A        63 A        50 A   
  37.50 keV   1.104E+00  8.124E+00     247 A        65 A        51 A   
  40.00 keV   1.140E+00  8.247E+00     257 A        67 A        53 A   
  45.00 keV   1.209E+00  8.466E+00     277 A        72 A        57 A   
  50.00 keV   1.275E+00  8.656E+00     296 A        76 A        61 A   
