 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 20, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\145Ba_Si.txt

 Ion = Barium [56] , Mass = 145 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.141E-01  5.276E+00     125 A        38 A        28 A   
  11.00 keV   2.246E-01  5.456E+00     131 A        40 A        30 A   
  12.00 keV   2.345E-01  5.621E+00     138 A        41 A        31 A   
  13.00 keV   2.441E-01  5.774E+00     144 A        43 A        32 A   
  14.00 keV   2.533E-01  5.917E+00     150 A        44 A        34 A   
  15.00 keV   2.622E-01  6.050E+00     156 A        46 A        35 A   
  16.00 keV   2.708E-01  6.175E+00     162 A        47 A        36 A   
  17.00 keV   2.792E-01  6.293E+00     168 A        49 A        37 A   
  18.00 keV   2.872E-01  6.403E+00     173 A        50 A        38 A   
  20.00 keV   3.028E-01  6.607E+00     184 A        53 A        40 A   
  22.50 keV   3.212E-01  6.835E+00     197 A        56 A        43 A   
  25.00 keV   3.385E-01  7.036E+00     210 A        59 A        46 A   
  27.50 keV   3.550E-01  7.217E+00     223 A        62 A        48 A   
  30.00 keV   3.708E-01  7.380E+00     235 A        65 A        50 A   
  32.50 keV   3.860E-01  7.529E+00     247 A        67 A        53 A   
  35.00 keV   4.005E-01  7.664E+00     259 A        70 A        55 A   
  37.50 keV   4.146E-01  7.788E+00     271 A        72 A        57 A   
  40.00 keV   4.282E-01  7.903E+00     282 A        75 A        59 A   
  45.00 keV   4.542E-01  8.106E+00     304 A        80 A        64 A   
  50.00 keV   4.787E-01  8.282E+00     326 A        85 A        68 A   
