 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 21, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\146Ce_Si.txt

 Ion = Cerium [58] , Mass = 146 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.025E+01  1.243E+03     124 A        38 A        28 A   
  11.00 keV   5.271E+01  1.286E+03     130 A        39 A        29 A   
  12.00 keV   5.505E+01  1.326E+03     137 A        41 A        31 A   
  13.00 keV   5.730E+01  1.362E+03     143 A        43 A        32 A   
  14.00 keV   5.946E+01  1.396E+03     149 A        44 A        33 A   
  15.00 keV   6.155E+01  1.428E+03     154 A        45 A        34 A   
  16.00 keV   6.357E+01  1.458E+03     160 A        47 A        36 A   
  17.00 keV   6.552E+01  1.486E+03     166 A        48 A        37 A   
  18.00 keV   6.742E+01  1.513E+03     171 A        50 A        38 A   
  20.00 keV   7.107E+01  1.562E+03     182 A        52 A        40 A   
  22.50 keV   7.538E+01  1.616E+03     195 A        55 A        43 A   
  25.00 keV   7.946E+01  1.665E+03     208 A        58 A        45 A   
  27.50 keV   8.334E+01  1.708E+03     220 A        61 A        47 A   
  30.00 keV   8.704E+01  1.748E+03     232 A        64 A        50 A   
  32.50 keV   9.060E+01  1.783E+03     244 A        66 A        52 A   
  35.00 keV   9.402E+01  1.816E+03     255 A        69 A        54 A   
  37.50 keV   9.732E+01  1.846E+03     267 A        72 A        56 A   
  40.00 keV   1.005E+02  1.874E+03     278 A        74 A        59 A   
  45.00 keV   1.066E+02  1.923E+03     300 A        79 A        63 A   
  50.00 keV   1.124E+02  1.966E+03     321 A        84 A        67 A   
