 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 14, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\146Gd_208Pb.txt

 Ion = Gadolinium [64] , Mass = 146 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.217E-01  1.388E+00      49 A        40 A        30 A   
  11.00 keV   1.276E-01  1.445E+00      52 A        41 A        31 A   
  12.00 keV   1.333E-01  1.497E+00      55 A        43 A        32 A   
  13.00 keV   1.387E-01  1.546E+00      57 A        45 A        34 A   
  14.00 keV   1.440E-01  1.592E+00      59 A        47 A        35 A   
  15.00 keV   1.490E-01  1.636E+00      62 A        48 A        36 A   
  16.00 keV   1.539E-01  1.678E+00      64 A        50 A        37 A   
  17.00 keV   1.586E-01  1.717E+00      66 A        52 A        38 A   
  18.00 keV   1.632E-01  1.754E+00      69 A        53 A        39 A   
  20.00 keV   1.721E-01  1.824E+00      73 A        56 A        41 A   
  22.50 keV   1.825E-01  1.903E+00      78 A        60 A        44 A   
  25.00 keV   1.924E-01  1.975E+00      83 A        63 A        46 A   
  27.50 keV   2.018E-01  2.041E+00      88 A        66 A        49 A   
  30.00 keV   2.107E-01  2.101E+00      93 A        70 A        51 A   
  32.50 keV   2.193E-01  2.157E+00      98 A        73 A        53 A   
  35.00 keV   2.276E-01  2.209E+00     102 A        76 A        55 A   
  37.50 keV   2.356E-01  2.257E+00     107 A        79 A        57 A   
  40.00 keV   2.433E-01  2.302E+00     111 A        82 A        59 A   
  45.00 keV   2.581E-01  2.385E+00     120 A        88 A        63 A   
  50.00 keV   2.721E-01  2.459E+00     129 A        93 A        67 A   
