 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 11, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\147Ba_in_7Li.txt

 Ion = Barium [56] , Mass = 147 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.264E-01  6.814E+00     464 A        69 A        52 A   
  11.00 keV   2.374E-01  7.022E+00     489 A        72 A        55 A   
  12.00 keV   2.480E-01  7.213E+00     513 A        75 A        57 A   
  13.00 keV   2.581E-01  7.388E+00     537 A        77 A        60 A   
  14.00 keV   2.679E-01  7.550E+00     561 A        80 A        62 A   
  15.00 keV   2.773E-01  7.700E+00     583 A        83 A        65 A   
  16.00 keV   2.864E-01  7.840E+00     606 A        85 A        67 A   
  17.00 keV   2.952E-01  7.971E+00     628 A        88 A        69 A   
  18.00 keV   3.037E-01  8.094E+00     649 A        90 A        71 A   
  20.00 keV   3.202E-01  8.318E+00     692 A        95 A        76 A   
  22.50 keV   3.396E-01  8.564E+00     743 A       101 A        81 A   
  25.00 keV   3.579E-01  8.780E+00     793 A       106 A        86 A   
  27.50 keV   3.754E-01  8.971E+00     842 A       112 A        91 A   
  30.00 keV   3.921E-01  9.141E+00     890 A       117 A        96 A   
  32.50 keV   4.081E-01  9.293E+00     937 A       122 A       101 A   
  35.00 keV   4.235E-01  9.430E+00     983 A       127 A       105 A   
  37.50 keV   4.384E-01  9.554E+00    1029 A       131 A       110 A   
  40.00 keV   4.528E-01  9.667E+00    1074 A       136 A       114 A   
  45.00 keV   4.802E-01  9.864E+00    1163 A       145 A       123 A   
  50.00 keV   5.062E-01  1.003E+01    1249 A       154 A       131 A   
