 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 11, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\147Ba_in_Si.txt

 Ion = Barium [56] , Mass = 147 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.126E-01  5.266E+00     126 A        38 A        28 A   
  11.00 keV   2.230E-01  5.446E+00     132 A        40 A        30 A   
  12.00 keV   2.329E-01  5.612E+00     139 A        41 A        31 A   
  13.00 keV   2.424E-01  5.765E+00     145 A        43 A        32 A   
  14.00 keV   2.516E-01  5.908E+00     151 A        44 A        34 A   
  15.00 keV   2.604E-01  6.041E+00     157 A        46 A        35 A   
  16.00 keV   2.690E-01  6.166E+00     163 A        47 A        36 A   
  17.00 keV   2.773E-01  6.284E+00     168 A        49 A        37 A   
  18.00 keV   2.853E-01  6.395E+00     174 A        50 A        38 A   
  20.00 keV   3.007E-01  6.600E+00     185 A        53 A        40 A   
  22.50 keV   3.190E-01  6.827E+00     198 A        56 A        43 A   
  25.00 keV   3.362E-01  7.030E+00     211 A        59 A        46 A   
  27.50 keV   3.526E-01  7.211E+00     224 A        62 A        48 A   
  30.00 keV   3.683E-01  7.375E+00     236 A        64 A        50 A   
  32.50 keV   3.833E-01  7.524E+00     248 A        67 A        53 A   
  35.00 keV   3.978E-01  7.660E+00     260 A        70 A        55 A   
  37.50 keV   4.118E-01  7.785E+00     272 A        72 A        57 A   
  40.00 keV   4.253E-01  7.900E+00     283 A        75 A        59 A   
  45.00 keV   4.511E-01  8.104E+00     306 A        80 A        64 A   
  50.00 keV   4.755E-01  8.281E+00     328 A        85 A        68 A   
