 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 16, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\148Ce_206Pb.txt

 Ion = Cerium [58] , Mass = 148 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.327E-02  1.357E+00      52 A        42 A        32 A   
  11.00 keV   4.538E-02  1.411E+00      55 A        44 A        33 A   
  12.00 keV   4.740E-02  1.461E+00      58 A        46 A        35 A   
  13.00 keV   4.934E-02  1.509E+00      60 A        48 A        36 A   
  14.00 keV   5.120E-02  1.553E+00      63 A        50 A        37 A   
  15.00 keV   5.299E-02  1.594E+00      65 A        51 A        39 A   
  16.00 keV   5.473E-02  1.634E+00      68 A        53 A        40 A   
  17.00 keV   5.642E-02  1.671E+00      70 A        55 A        41 A   
  18.00 keV   5.805E-02  1.707E+00      73 A        56 A        42 A   
  20.00 keV   6.119E-02  1.773E+00      77 A        60 A        44 A   
  22.50 keV   6.491E-02  1.849E+00      83 A        63 A        47 A   
  25.00 keV   6.842E-02  1.917E+00      89 A        67 A        50 A   
  27.50 keV   7.176E-02  1.979E+00      94 A        71 A        52 A   
  30.00 keV   7.495E-02  2.036E+00      99 A        74 A        55 A   
  32.50 keV   7.801E-02  2.088E+00     104 A        78 A        57 A   
  35.00 keV   8.095E-02  2.137E+00     109 A        81 A        60 A   
  37.50 keV   8.379E-02  2.182E+00     114 A        84 A        62 A   
  40.00 keV   8.654E-02  2.225E+00     119 A        88 A        64 A   
  45.00 keV   9.179E-02  2.302E+00     129 A        94 A        68 A   
  50.00 keV   9.676E-02  2.371E+00     138 A       100 A        72 A   
