 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 16, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\148Ce_60Ni.txt

 Ion = Cerium [58] , Mass = 148 amu

 Target Density =  8.8955E+00 g/cm3 = 8.9281E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.024E-02  3.712E+00      40 A        18 A        13 A   
  11.00 keV   9.465E-02  3.845E+00      42 A        19 A        14 A   
  12.00 keV   9.886E-02  3.968E+00      45 A        20 A        14 A   
  13.00 keV   1.029E-01  4.083E+00      47 A        20 A        15 A   
  14.00 keV   1.068E-01  4.190E+00      49 A        21 A        16 A   
  15.00 keV   1.105E-01  4.290E+00      50 A        22 A        16 A   
  16.00 keV   1.141E-01  4.385E+00      52 A        23 A        17 A   
  17.00 keV   1.177E-01  4.474E+00      54 A        23 A        17 A   
  18.00 keV   1.211E-01  4.558E+00      56 A        24 A        18 A   
  20.00 keV   1.276E-01  4.714E+00      60 A        25 A        19 A   
  22.50 keV   1.354E-01  4.888E+00      64 A        27 A        20 A   
  25.00 keV   1.427E-01  5.044E+00      68 A        28 A        21 A   
  27.50 keV   1.497E-01  5.185E+00      72 A        30 A        22 A   
  30.00 keV   1.563E-01  5.312E+00      76 A        31 A        23 A   
  32.50 keV   1.627E-01  5.429E+00      80 A        32 A        24 A   
  35.00 keV   1.688E-01  5.536E+00      84 A        34 A        25 A   
  37.50 keV   1.748E-01  5.635E+00      88 A        35 A        26 A   
  40.00 keV   1.805E-01  5.727E+00      91 A        36 A        27 A   
  45.00 keV   1.914E-01  5.891E+00      99 A        39 A        29 A   
  50.00 keV   2.018E-01  6.035E+00     106 A        41 A        31 A   
