 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\162Yb_24Mg.txt

 Ion = Ytterbium [70] , Mass = 162 amu

 Target Density =  1.7366E+00 g/cm3 = 4.3027E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.453E-01  5.971E+00     148 A        39 A        29 A   
  11.00 keV   7.816E-01  6.189E+00     156 A        41 A        30 A   
  12.00 keV   8.164E-01  6.391E+00     163 A        42 A        32 A   
  13.00 keV   8.497E-01  6.579E+00     170 A        44 A        33 A   
  14.00 keV   8.818E-01  6.755E+00     177 A        45 A        34 A   
  15.00 keV   9.128E-01  6.919E+00     183 A        47 A        35 A   
  16.00 keV   9.427E-01  7.075E+00     190 A        48 A        36 A   
  17.00 keV   9.717E-01  7.221E+00     196 A        50 A        37 A   
  18.00 keV   9.999E-01  7.360E+00     202 A        51 A        39 A   
  20.00 keV   1.054E+00  7.617E+00     214 A        53 A        41 A   
  22.50 keV   1.118E+00  7.905E+00     229 A        56 A        43 A   
  25.00 keV   1.178E+00  8.164E+00     243 A        59 A        46 A   
  27.50 keV   1.236E+00  8.397E+00     257 A        62 A        48 A   
  30.00 keV   1.291E+00  8.609E+00     270 A        65 A        50 A   
  32.50 keV   1.344E+00  8.804E+00     283 A        67 A        52 A   
  35.00 keV   1.394E+00  8.982E+00     296 A        70 A        55 A   
  37.50 keV   1.443E+00  9.148E+00     308 A        72 A        57 A   
  40.00 keV   1.491E+00  9.301E+00     320 A        74 A        59 A   
  45.00 keV   1.581E+00  9.577E+00     344 A        79 A        63 A   
  50.00 keV   1.666E+00  9.818E+00     367 A        83 A        67 A   
