 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\162Yb_92Mo.txt

 Ion = Ytterbium [70] , Mass = 162 amu

 Target Density =  1.0206E+01 g/cm3 = 6.6805E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.769E-01  3.103E+00      37 A        20 A        14 A   
  11.00 keV   2.905E-01  3.225E+00      39 A        21 A        15 A   
  12.00 keV   3.034E-01  3.339E+00      41 A        21 A        16 A   
  13.00 keV   3.158E-01  3.445E+00      43 A        22 A        16 A   
  14.00 keV   3.277E-01  3.545E+00      45 A        23 A        17 A   
  15.00 keV   3.392E-01  3.639E+00      46 A        24 A        17 A   
  16.00 keV   3.503E-01  3.727E+00      48 A        24 A        18 A   
  17.00 keV   3.611E-01  3.812E+00      50 A        25 A        18 A   
  18.00 keV   3.716E-01  3.892E+00      51 A        26 A        19 A   
  20.00 keV   3.917E-01  4.041E+00      54 A        27 A        20 A   
  22.50 keV   4.154E-01  4.210E+00      58 A        29 A        21 A   
  25.00 keV   4.379E-01  4.362E+00      62 A        30 A        22 A   
  27.50 keV   4.593E-01  4.501E+00      65 A        32 A        23 A   
  30.00 keV   4.797E-01  4.628E+00      69 A        33 A        24 A   
  32.50 keV   4.993E-01  4.746E+00      72 A        35 A        25 A   
  35.00 keV   5.181E-01  4.854E+00      75 A        36 A        26 A   
  37.50 keV   5.363E-01  4.955E+00      78 A        37 A        27 A   
  40.00 keV   5.539E-01  5.050E+00      82 A        38 A        28 A   
  45.00 keV   5.875E-01  5.221E+00      88 A        41 A        30 A   
  50.00 keV   6.193E-01  5.374E+00      94 A        43 A        32 A   
