 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\162Yb_Si.txt

 Ion = Ytterbium [70] , Mass = 162 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.752E-01  5.727E+00     116 A        33 A        25 A   
  11.00 keV   6.033E-01  5.938E+00     122 A        35 A        26 A   
  12.00 keV   6.301E-01  6.134E+00     127 A        36 A        27 A   
  13.00 keV   6.559E-01  6.316E+00     133 A        37 A        28 A   
  14.00 keV   6.806E-01  6.487E+00     138 A        39 A        29 A   
  15.00 keV   7.045E-01  6.647E+00     143 A        40 A        30 A   
  16.00 keV   7.276E-01  6.798E+00     148 A        41 A        31 A   
  17.00 keV   7.500E-01  6.940E+00     153 A        42 A        32 A   
  18.00 keV   7.718E-01  7.075E+00     158 A        43 A        33 A   
  20.00 keV   8.135E-01  7.325E+00     168 A        46 A        35 A   
  22.50 keV   8.629E-01  7.606E+00     179 A        48 A        37 A   
  25.00 keV   9.095E-01  7.858E+00     190 A        51 A        39 A   
  27.50 keV   9.539E-01  8.086E+00     201 A        53 A        41 A   
  30.00 keV   9.963E-01  8.293E+00     211 A        55 A        43 A   
  32.50 keV   1.037E+00  8.483E+00     221 A        57 A        45 A   
  35.00 keV   1.076E+00  8.658E+00     231 A        59 A        46 A   
  37.50 keV   1.114E+00  8.820E+00     241 A        62 A        48 A   
  40.00 keV   1.150E+00  8.971E+00     250 A        64 A        50 A   
  45.00 keV   1.220E+00  9.242E+00     269 A        67 A        53 A   
  50.00 keV   1.286E+00  9.479E+00     287 A        71 A        56 A   
