 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 17, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\16O_Si.txt

 Ion = Oxygen [8] , Mass = 16 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.746E+01  1.714E+02     268 A       152 A       110 A   
  11.00 keV   1.022E+02  1.698E+02     292 A       163 A       119 A   
  12.00 keV   1.068E+02  1.682E+02     315 A       174 A       127 A   
  13.00 keV   1.111E+02  1.664E+02     339 A       185 A       135 A   
  14.00 keV   1.153E+02  1.646E+02     363 A       196 A       143 A   
  15.00 keV   1.194E+02  1.628E+02     387 A       206 A       150 A   
  16.00 keV   1.233E+02  1.610E+02     411 A       216 A       158 A   
  17.00 keV   1.271E+02  1.592E+02     435 A       227 A       166 A   
  18.00 keV   1.308E+02  1.575E+02     459 A       237 A       173 A   
  20.00 keV   1.378E+02  1.539E+02     507 A       256 A       188 A   
  22.50 keV   1.462E+02  1.497E+02     567 A       280 A       206 A   
  25.00 keV   1.541E+02  1.457E+02     627 A       303 A       224 A   
  27.50 keV   1.616E+02  1.419E+02     687 A       325 A       242 A   
  30.00 keV   1.688E+02  1.382E+02     746 A       346 A       259 A   
  32.50 keV   1.767E+02  1.348E+02     806 A       367 A       276 A   
  35.00 keV   1.876E+02  1.316E+02     865 A       387 A       293 A   
  37.50 keV   1.971E+02  1.285E+02     923 A       405 A       310 A   
  40.00 keV   2.055E+02  1.256E+02     981 A       424 A       326 A   
  45.00 keV   2.194E+02  1.202E+02    1095 A       458 A       357 A   
  50.00 keV   2.306E+02  1.153E+02    1208 A       491 A       387 A   
