 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Ta_Si.txt

 Ion = Tantalum [73] , Mass = 180.948 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.784E-01  5.705E+00     123 A        35 A        25 A   
  11.00 keV   3.969E-01  5.922E+00     129 A        36 A        27 A   
  12.00 keV   4.145E-01  6.124E+00     135 A        37 A        28 A   
  13.00 keV   4.315E-01  6.312E+00     141 A        39 A        29 A   
  14.00 keV   4.477E-01  6.488E+00     146 A        40 A        30 A   
  15.00 keV   4.635E-01  6.653E+00     152 A        41 A        31 A   
  16.00 keV   4.787E-01  6.810E+00     157 A        42 A        32 A   
  17.00 keV   4.934E-01  6.958E+00     162 A        44 A        33 A   
  18.00 keV   5.077E-01  7.098E+00     167 A        45 A        34 A   
  20.00 keV   5.352E-01  7.359E+00     177 A        47 A        35 A   
  22.50 keV   5.676E-01  7.652E+00     189 A        50 A        38 A   
  25.00 keV   5.983E-01  7.917E+00     200 A        52 A        40 A   
  27.50 keV   6.275E-01  8.157E+00     211 A        54 A        42 A   
  30.00 keV   6.554E-01  8.376E+00     222 A        57 A        44 A   
  32.50 keV   6.822E-01  8.577E+00     233 A        59 A        45 A   
  35.00 keV   7.079E-01  8.763E+00     243 A        61 A        47 A   
  37.50 keV   7.328E-01  8.936E+00     253 A        63 A        49 A   
  40.00 keV   7.568E-01  9.096E+00     263 A        65 A        51 A   
  45.00 keV   8.027E-01  9.387E+00     282 A        69 A        54 A   
  50.00 keV   8.461E-01  9.643E+00     301 A        73 A        57 A   
