 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 25, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\182Hg_120Sn.txt

 Ion = Mercury [80] , Mass = 182 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.677E-01  2.659E+00      58 A        33 A        24 A   
  11.00 keV   2.808E-01  2.769E+00      61 A        35 A        25 A   
  12.00 keV   2.932E-01  2.871E+00      64 A        36 A        26 A   
  13.00 keV   3.052E-01  2.967E+00      67 A        38 A        27 A   
  14.00 keV   3.167E-01  3.057E+00      69 A        39 A        28 A   
  15.00 keV   3.279E-01  3.143E+00      72 A        40 A        29 A   
  16.00 keV   3.386E-01  3.224E+00      74 A        41 A        30 A   
  17.00 keV   3.490E-01  3.301E+00      77 A        42 A        31 A   
  18.00 keV   3.591E-01  3.374E+00      79 A        44 A        32 A   
  20.00 keV   3.786E-01  3.511E+00      84 A        46 A        33 A   
  22.50 keV   4.015E-01  3.667E+00      90 A        48 A        35 A   
  25.00 keV   4.233E-01  3.808E+00      95 A        51 A        37 A   
  27.50 keV   4.439E-01  3.938E+00     100 A        53 A        39 A   
  30.00 keV   4.637E-01  4.057E+00     106 A        56 A        41 A   
  32.50 keV   4.826E-01  4.167E+00     111 A        58 A        42 A   
  35.00 keV   5.008E-01  4.270E+00     115 A        60 A        44 A   
  37.50 keV   5.184E-01  4.366E+00     120 A        62 A        45 A   
  40.00 keV   5.354E-01  4.456E+00     125 A        64 A        47 A   
  45.00 keV   5.679E-01  4.620E+00     134 A        68 A        50 A   
  50.00 keV   5.986E-01  4.767E+00     143 A        72 A        53 A   
