 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 25, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\182Hg_Si.txt

 Ion = Mercury [80] , Mass = 182 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.751E-01  5.916E+00     116 A        32 A        23 A   
  11.00 keV   7.080E-01  6.146E+00     121 A        33 A        24 A   
  12.00 keV   7.395E-01  6.359E+00     127 A        34 A        25 A   
  13.00 keV   7.697E-01  6.559E+00     132 A        36 A        26 A   
  14.00 keV   7.987E-01  6.747E+00     137 A        37 A        27 A   
  15.00 keV   8.268E-01  6.923E+00     142 A        38 A        28 A   
  16.00 keV   8.539E-01  7.090E+00     147 A        39 A        29 A   
  17.00 keV   8.802E-01  7.248E+00     152 A        40 A        30 A   
  18.00 keV   9.057E-01  7.398E+00     156 A        41 A        31 A   
  20.00 keV   9.547E-01  7.677E+00     165 A        43 A        32 A   
  22.50 keV   1.013E+00  7.993E+00     176 A        45 A        34 A   
  25.00 keV   1.067E+00  8.278E+00     187 A        48 A        36 A   
  27.50 keV   1.119E+00  8.537E+00     197 A        50 A        38 A   
  30.00 keV   1.169E+00  8.774E+00     207 A        52 A        40 A   
  32.50 keV   1.217E+00  8.992E+00     216 A        54 A        41 A   
  35.00 keV   1.263E+00  9.194E+00     225 A        56 A        43 A   
  37.50 keV   1.307E+00  9.382E+00     235 A        58 A        45 A   
  40.00 keV   1.350E+00  9.557E+00     243 A        59 A        46 A   
  45.00 keV   1.432E+00  9.875E+00     261 A        63 A        49 A   
  50.00 keV   1.509E+00  1.016E+01     278 A        66 A        52 A   
