 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04

SRIM
              Calc. date   ---> July 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hg184_120Sn

 Ion = Mercury [80] , Mass = 184 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.662E-01  2.663E+00      58 A        33 A        24 A   
  11.00 keV   2.792E-01  2.773E+00      61 A        35 A        25 A   
  12.00 keV   2.916E-01  2.876E+00      64 A        36 A        26 A   
  13.00 keV   3.036E-01  2.972E+00      67 A        38 A        27 A   
  14.00 keV   3.150E-01  3.063E+00      70 A        39 A        28 A   
  15.00 keV   3.261E-01  3.148E+00      72 A        40 A        29 A   
  16.00 keV   3.368E-01  3.229E+00      75 A        41 A        30 A   
  17.00 keV   3.471E-01  3.307E+00      77 A        42 A        31 A   
  18.00 keV   3.572E-01  3.380E+00      80 A        44 A        32 A   
  20.00 keV   3.765E-01  3.518E+00      84 A        46 A        33 A   
  22.50 keV   3.993E-01  3.674E+00      90 A        48 A        35 A   
  25.00 keV   4.209E-01  3.816E+00      95 A        51 A        37 A   
  27.50 keV   4.415E-01  3.946E+00     101 A        53 A        39 A   
  30.00 keV   4.611E-01  4.065E+00     106 A        56 A        40 A   
  32.50 keV   4.800E-01  4.176E+00     111 A        58 A        42 A   
  35.00 keV   4.981E-01  4.279E+00     116 A        60 A        44 A   
  37.50 keV   5.156E-01  4.376E+00     121 A        62 A        45 A   
  40.00 keV   5.325E-01  4.466E+00     125 A        64 A        47 A   
  45.00 keV   5.648E-01  4.631E+00     134 A        68 A        50 A   
