 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04

SRIM
              Calc. date   ---> July 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hg184_natSi

 Ion = Mercury [80] , Mass = 184 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.714E-01  5.902E+00     116 A        32 A        23 A   
  11.00 keV   7.041E-01  6.131E+00     122 A        33 A        24 A   
  12.00 keV   7.355E-01  6.345E+00     127 A        34 A        25 A   
  13.00 keV   7.655E-01  6.545E+00     133 A        36 A        26 A   
  14.00 keV   7.944E-01  6.732E+00     138 A        37 A        27 A   
  15.00 keV   8.223E-01  6.909E+00     143 A        38 A        28 A   
  16.00 keV   8.492E-01  7.076E+00     148 A        39 A        29 A   
  17.00 keV   8.754E-01  7.234E+00     152 A        40 A        30 A   
  18.00 keV   9.007E-01  7.384E+00     157 A        41 A        31 A   
  20.00 keV   9.495E-01  7.663E+00     166 A        43 A        32 A   
  22.50 keV   1.007E+00  7.979E+00     177 A        45 A        34 A   
  25.00 keV   1.062E+00  8.264E+00     187 A        48 A        36 A   
  27.50 keV   1.113E+00  8.523E+00     198 A        50 A        38 A   
  30.00 keV   1.163E+00  8.761E+00     207 A        52 A        40 A   
  32.50 keV   1.210E+00  8.979E+00     217 A        54 A        41 A   
  35.00 keV   1.256E+00  9.182E+00     226 A        56 A        43 A   
  37.50 keV   1.300E+00  9.370E+00     236 A        58 A        45 A   
  40.00 keV   1.343E+00  9.545E+00     244 A        59 A        46 A   
  45.00 keV   1.424E+00  9.864E+00     262 A        63 A        49 A   
