 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04

SRIM
              Calc. date   ---> July 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hg185_48Ti

 Ion = Mercury [80] , Mass = 185 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6693E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.302E-01  4.655E+00      70 A        25 A        19 A   
  11.00 keV   4.512E-01  4.839E+00      74 A        26 A        19 A   
  12.00 keV   4.713E-01  5.009E+00      77 A        27 A        20 A   
  13.00 keV   4.905E-01  5.169E+00      80 A        28 A        21 A   
  14.00 keV   5.090E-01  5.318E+00      84 A        29 A        22 A   
  15.00 keV   5.269E-01  5.459E+00      87 A        30 A        22 A   
  16.00 keV   5.442E-01  5.593E+00      90 A        31 A        23 A   
  17.00 keV   5.609E-01  5.719E+00      93 A        32 A        24 A   
  18.00 keV   5.772E-01  5.839E+00      95 A        33 A        24 A   
  20.00 keV   6.084E-01  6.063E+00     101 A        34 A        26 A   
  22.50 keV   6.453E-01  6.317E+00     108 A        36 A        27 A   
  25.00 keV   6.802E-01  6.545E+00     114 A        38 A        29 A   
  27.50 keV   7.134E-01  6.754E+00     120 A        40 A        30 A   
  30.00 keV   7.452E-01  6.945E+00     126 A        42 A        31 A   
  32.50 keV   7.756E-01  7.121E+00     132 A        43 A        33 A   
  35.00 keV   8.049E-01  7.284E+00     138 A        45 A        34 A   
  37.50 keV   8.331E-01  7.436E+00     144 A        46 A        35 A   
  40.00 keV   8.605E-01  7.578E+00     149 A        48 A        37 A   
  45.00 keV   9.126E-01  7.836E+00     160 A        51 A        39 A   
