 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 25, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\185Hg_58Ni.txt

 Ion = Mercury [80] , Mass = 185 amu

 Target Density =  8.8955E+00 g/cm3 = 9.2360E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.907E-01  4.372E+00      37 A        15 A        11 A   
  11.00 keV   3.049E-01  4.548E+00      39 A        16 A        12 A   
  12.00 keV   3.184E-01  4.712E+00      41 A        16 A        12 A   
  13.00 keV   3.314E-01  4.865E+00      43 A        17 A        12 A   
  14.00 keV   3.439E-01  5.010E+00      44 A        17 A        13 A   
  15.00 keV   3.560E-01  5.146E+00      46 A        18 A        13 A   
  16.00 keV   3.677E-01  5.275E+00      48 A        19 A        14 A   
  17.00 keV   3.790E-01  5.397E+00      49 A        19 A        14 A   
  18.00 keV   3.900E-01  5.514E+00      51 A        20 A        14 A   
  20.00 keV   4.111E-01  5.731E+00      54 A        21 A        15 A   
  22.50 keV   4.360E-01  5.978E+00      57 A        22 A        16 A   
  25.00 keV   4.596E-01  6.201E+00      61 A        23 A        17 A   
  27.50 keV   4.820E-01  6.405E+00      64 A        24 A        18 A   
  30.00 keV   5.035E-01  6.592E+00      67 A        25 A        19 A   
  32.50 keV   5.240E-01  6.765E+00      70 A        26 A        19 A   
  35.00 keV   5.438E-01  6.926E+00      73 A        27 A        20 A   
  37.50 keV   5.629E-01  7.076E+00      76 A        28 A        21 A   
  40.00 keV   5.814E-01  7.216E+00      79 A        29 A        22 A   
  45.00 keV   6.166E-01  7.471E+00      85 A        30 A        23 A   
  50.00 keV   6.500E-01  7.699E+00      90 A        32 A        24 A   
