 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\194Pt_194Pt.txt

 Ion = Platinum [78] , Mass = 194 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6583E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.094E-01  1.787E+00      25 A        18 A        13 A   
  11.00 keV   1.148E-01  1.864E+00      26 A        19 A        14 A   
  12.00 keV   1.199E-01  1.936E+00      28 A        20 A        14 A   
  13.00 keV   1.248E-01  2.003E+00      29 A        21 A        15 A   
  14.00 keV   1.295E-01  2.067E+00      30 A        21 A        15 A   
  15.00 keV   1.340E-01  2.127E+00      31 A        22 A        16 A   
  16.00 keV   1.384E-01  2.184E+00      32 A        23 A        16 A   
  17.00 keV   1.427E-01  2.239E+00      33 A        23 A        17 A   
  18.00 keV   1.468E-01  2.291E+00      34 A        24 A        17 A   
  20.00 keV   1.548E-01  2.389E+00      36 A        25 A        18 A   
  22.50 keV   1.642E-01  2.501E+00      39 A        26 A        19 A   
  25.00 keV   1.730E-01  2.603E+00      41 A        28 A        20 A   
  27.50 keV   1.815E-01  2.696E+00      43 A        29 A        21 A   
  30.00 keV   1.896E-01  2.783E+00      46 A        30 A        22 A   
  32.50 keV   1.973E-01  2.863E+00      48 A        32 A        23 A   
  35.00 keV   2.047E-01  2.938E+00      50 A        33 A        24 A   
  37.50 keV   2.119E-01  3.009E+00      52 A        34 A        24 A   
  40.00 keV   2.189E-01  3.075E+00      54 A        35 A        25 A   
  45.00 keV   2.322E-01  3.196E+00      58 A        37 A        27 A   
  50.00 keV   2.447E-01  3.306E+00      62 A        40 A        28 A   
