 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\194Pt_Si.txt

 Ion = Platinum [78] , Mass = 194 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.594E-01  5.773E+00     120 A        32 A        23 A   
  11.00 keV   6.916E-01  5.999E+00     126 A        33 A        24 A   
  12.00 keV   7.224E-01  6.209E+00     131 A        35 A        25 A   
  13.00 keV   7.519E-01  6.405E+00     137 A        36 A        26 A   
  14.00 keV   7.803E-01  6.589E+00     142 A        37 A        27 A   
  15.00 keV   8.076E-01  6.762E+00     147 A        38 A        28 A   
  16.00 keV   8.341E-01  6.926E+00     152 A        39 A        29 A   
  17.00 keV   8.598E-01  7.082E+00     157 A        40 A        30 A   
  18.00 keV   8.847E-01  7.229E+00     162 A        41 A        31 A   
  20.00 keV   9.326E-01  7.504E+00     171 A        43 A        32 A   
  22.50 keV   9.892E-01  7.815E+00     182 A        46 A        34 A   
  25.00 keV   1.043E+00  8.095E+00     193 A        48 A        36 A   
  27.50 keV   1.094E+00  8.350E+00     203 A        50 A        38 A   
  30.00 keV   1.142E+00  8.584E+00     213 A        52 A        40 A   
  32.50 keV   1.189E+00  8.799E+00     223 A        54 A        42 A   
  35.00 keV   1.234E+00  8.999E+00     233 A        56 A        43 A   
  37.50 keV   1.277E+00  9.184E+00     242 A        58 A        45 A   
  40.00 keV   1.319E+00  9.357E+00     251 A        60 A        46 A   
  45.00 keV   1.399E+00  9.671E+00     269 A        63 A        49 A   
  50.00 keV   1.475E+00  9.950E+00     287 A        66 A        52 A   
