 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 11, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\197Au_197Au.txt

 Ion = Gold [79] , Mass = 197 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9031E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.779E-02  1.777E+00      28 A        21 A        15 A   
  11.00 keV   1.026E-01  1.854E+00      30 A        21 A        15 A   
  12.00 keV   1.071E-01  1.926E+00      31 A        22 A        16 A   
  13.00 keV   1.115E-01  1.993E+00      32 A        23 A        16 A   
  14.00 keV   1.157E-01  2.057E+00      34 A        24 A        17 A   
  15.00 keV   1.198E-01  2.117E+00      35 A        25 A        18 A   
  16.00 keV   1.237E-01  2.175E+00      36 A        25 A        18 A   
  17.00 keV   1.275E-01  2.229E+00      37 A        26 A        19 A   
  18.00 keV   1.312E-01  2.282E+00      38 A        27 A        19 A   
  20.00 keV   1.383E-01  2.380E+00      41 A        28 A        20 A   
  22.50 keV   1.467E-01  2.491E+00      43 A        30 A        21 A   
  25.00 keV   1.546E-01  2.593E+00      46 A        31 A        22 A   
  27.50 keV   1.622E-01  2.687E+00      49 A        33 A        23 A   
  30.00 keV   1.694E-01  2.774E+00      51 A        34 A        25 A   
  32.50 keV   1.763E-01  2.855E+00      54 A        36 A        26 A   
  35.00 keV   1.830E-01  2.930E+00      56 A        37 A        27 A   
  37.50 keV   1.894E-01  3.001E+00      58 A        38 A        27 A   
  40.00 keV   1.956E-01  3.068E+00      61 A        40 A        28 A   
  45.00 keV   2.074E-01  3.190E+00      65 A        42 A        30 A   
  50.00 keV   2.187E-01  3.300E+00      69 A        45 A        32 A   
