 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 22, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\206Hg_197Au.txt

 Ion = Mercury [80] , Mass = 206 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.670E-02  1.808E+00      28 A        20 A        14 A   
  11.00 keV   1.014E-01  1.886E+00      30 A        21 A        15 A   
  12.00 keV   1.059E-01  1.960E+00      31 A        22 A        16 A   
  13.00 keV   1.103E-01  2.029E+00      32 A        23 A        16 A   
  14.00 keV   1.144E-01  2.094E+00      34 A        24 A        17 A   
  15.00 keV   1.184E-01  2.156E+00      35 A        24 A        17 A   
  16.00 keV   1.223E-01  2.215E+00      36 A        25 A        18 A   
  17.00 keV   1.261E-01  2.271E+00      37 A        26 A        18 A   
  18.00 keV   1.297E-01  2.324E+00      39 A        27 A        19 A   
  20.00 keV   1.367E-01  2.425E+00      41 A        28 A        20 A   
  22.50 keV   1.450E-01  2.540E+00      44 A        29 A        21 A   
  25.00 keV   1.529E-01  2.645E+00      46 A        31 A        22 A   
  27.50 keV   1.604E-01  2.741E+00      49 A        32 A        23 A   
  30.00 keV   1.675E-01  2.831E+00      51 A        34 A        24 A   
  32.50 keV   1.743E-01  2.914E+00      54 A        35 A        25 A   
  35.00 keV   1.809E-01  2.991E+00      56 A        37 A        26 A   
  37.50 keV   1.873E-01  3.064E+00      58 A        38 A        27 A   
  40.00 keV   1.934E-01  3.133E+00      61 A        39 A        28 A   
  45.00 keV   2.051E-01  3.259E+00      65 A        42 A        30 A   
  50.00 keV   2.162E-01  3.372E+00      69 A        44 A        32 A   
