 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 22, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\206Hg_7Li.txt

 Ion = Mercury [80] , Mass = 206 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.755E-01  7.198E+00     460 A        60 A        43 A   
  11.00 keV   7.085E-01  7.464E+00     483 A        62 A        45 A   
  12.00 keV   7.400E-01  7.709E+00     505 A        65 A        47 A   
  13.00 keV   7.702E-01  7.938E+00     526 A        67 A        49 A   
  14.00 keV   7.993E-01  8.152E+00     546 A        69 A        51 A   
  15.00 keV   8.273E-01  8.353E+00     567 A        71 A        53 A   
  16.00 keV   8.545E-01  8.542E+00     586 A        73 A        54 A   
  17.00 keV   8.808E-01  8.721E+00     605 A        75 A        56 A   
  18.00 keV   9.063E-01  8.890E+00     624 A        77 A        58 A   
  20.00 keV   9.553E-01  9.204E+00     661 A        81 A        61 A   
  22.50 keV   1.013E+00  9.557E+00     704 A        85 A        65 A   
  25.00 keV   1.068E+00  9.873E+00     747 A        90 A        68 A   
  27.50 keV   1.120E+00  1.016E+01     788 A        94 A        72 A   
  30.00 keV   1.170E+00  1.042E+01     828 A        97 A        75 A   
  32.50 keV   1.218E+00  1.066E+01     867 A       101 A        79 A   
  35.00 keV   1.264E+00  1.088E+01     905 A       105 A        82 A   
  37.50 keV   1.308E+00  1.108E+01     942 A       108 A        85 A   
  40.00 keV   1.351E+00  1.127E+01     978 A       111 A        88 A   
  45.00 keV   1.433E+00  1.161E+01    1049 A       118 A        94 A   
  50.00 keV   1.511E+00  1.191E+01    1118 A       124 A       100 A   
