 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 22, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\206Hg_Si.txt

 Ion = Mercury [80] , Mass = 206 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.345E-01  5.750E+00     123 A        32 A        23 A   
  11.00 keV   6.655E-01  5.978E+00     129 A        33 A        24 A   
  12.00 keV   6.951E-01  6.191E+00     134 A        35 A        25 A   
  13.00 keV   7.235E-01  6.389E+00     140 A        36 A        26 A   
  14.00 keV   7.508E-01  6.576E+00     145 A        37 A        27 A   
  15.00 keV   7.771E-01  6.752E+00     150 A        38 A        28 A   
  16.00 keV   8.026E-01  6.919E+00     155 A        39 A        29 A   
  17.00 keV   8.273E-01  7.077E+00     160 A        40 A        30 A   
  18.00 keV   8.513E-01  7.227E+00     165 A        41 A        31 A   
  20.00 keV   8.973E-01  7.508E+00     174 A        43 A        32 A   
  22.50 keV   9.518E-01  7.825E+00     186 A        46 A        34 A   
  25.00 keV   1.003E+00  8.112E+00     196 A        48 A        36 A   
  27.50 keV   1.052E+00  8.373E+00     207 A        50 A        38 A   
  30.00 keV   1.099E+00  8.613E+00     217 A        52 A        40 A   
  32.50 keV   1.144E+00  8.835E+00     227 A        54 A        41 A   
  35.00 keV   1.187E+00  9.040E+00     237 A        56 A        43 A   
  37.50 keV   1.229E+00  9.231E+00     246 A        58 A        44 A   
  40.00 keV   1.269E+00  9.410E+00     255 A        59 A        46 A   
  45.00 keV   1.346E+00  9.735E+00     273 A        63 A        49 A   
  50.00 keV   1.419E+00  1.002E+01     291 A        66 A        52 A   
