 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 22, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\209Tl_197Au.txt

 Ion = Thallium [81] , Mass = 209 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.944E-02  1.823E+00      28 A        20 A        14 A   
  11.00 keV   1.043E-01  1.903E+00      30 A        21 A        15 A   
  12.00 keV   1.089E-01  1.977E+00      31 A        22 A        16 A   
  13.00 keV   1.134E-01  2.047E+00      32 A        23 A        16 A   
  14.00 keV   1.177E-01  2.113E+00      34 A        23 A        17 A   
  15.00 keV   1.218E-01  2.176E+00      35 A        24 A        17 A   
  16.00 keV   1.258E-01  2.235E+00      36 A        25 A        18 A   
  17.00 keV   1.296E-01  2.292E+00      37 A        26 A        18 A   
  18.00 keV   1.334E-01  2.346E+00      39 A        26 A        19 A   
  20.00 keV   1.406E-01  2.448E+00      41 A        28 A        20 A   
  22.50 keV   1.492E-01  2.565E+00      44 A        29 A        21 A   
  25.00 keV   1.572E-01  2.671E+00      46 A        31 A        22 A   
  27.50 keV   1.649E-01  2.769E+00      49 A        32 A        23 A   
  30.00 keV   1.722E-01  2.860E+00      51 A        34 A        24 A   
  32.50 keV   1.793E-01  2.944E+00      54 A        35 A        25 A   
  35.00 keV   1.860E-01  3.023E+00      56 A        36 A        26 A   
  37.50 keV   1.926E-01  3.097E+00      58 A        37 A        27 A   
  40.00 keV   1.989E-01  3.167E+00      60 A        39 A        28 A   
  45.00 keV   2.109E-01  3.295E+00      65 A        41 A        30 A   
  50.00 keV   2.223E-01  3.410E+00      69 A        43 A        31 A   
