 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 22, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\209Tl_7Li.txt

 Ion = Thallium [81] , Mass = 209 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.946E-01  7.198E+00     461 A        60 A        43 A   
  11.00 keV   7.286E-01  7.465E+00     483 A        62 A        45 A   
  12.00 keV   7.609E-01  7.713E+00     505 A        64 A        47 A   
  13.00 keV   7.920E-01  7.943E+00     526 A        67 A        49 A   
  14.00 keV   8.219E-01  8.159E+00     547 A        69 A        50 A   
  15.00 keV   8.508E-01  8.361E+00     567 A        71 A        52 A   
  16.00 keV   8.787E-01  8.552E+00     586 A        73 A        54 A   
  17.00 keV   9.057E-01  8.732E+00     605 A        75 A        56 A   
  18.00 keV   9.320E-01  8.903E+00     624 A        77 A        57 A   
  20.00 keV   9.824E-01  9.220E+00     660 A        80 A        60 A   
  22.50 keV   1.042E+00  9.576E+00     704 A        85 A        64 A   
  25.00 keV   1.098E+00  9.895E+00     746 A        89 A        68 A   
  27.50 keV   1.152E+00  1.018E+01     787 A        93 A        71 A   
  30.00 keV   1.203E+00  1.045E+01     827 A        97 A        75 A   
  32.50 keV   1.252E+00  1.069E+01     866 A       100 A        78 A   
  35.00 keV   1.300E+00  1.091E+01     903 A       104 A        81 A   
  37.50 keV   1.345E+00  1.112E+01     940 A       107 A        84 A   
  40.00 keV   1.389E+00  1.131E+01     977 A       111 A        87 A   
  45.00 keV   1.474E+00  1.165E+01    1047 A       117 A        93 A   
  50.00 keV   1.553E+00  1.196E+01    1116 A       123 A        99 A   
