 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 22, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\209Tl_Si.txt

 Ion = Thallium [81] , Mass = 209 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.525E-01  5.757E+00     123 A        32 A        23 A   
  11.00 keV   6.843E-01  5.987E+00     129 A        33 A        24 A   
  12.00 keV   7.148E-01  6.201E+00     134 A        34 A        25 A   
  13.00 keV   7.439E-01  6.401E+00     140 A        36 A        26 A   
  14.00 keV   7.720E-01  6.590E+00     145 A        37 A        27 A   
  15.00 keV   7.991E-01  6.767E+00     150 A        38 A        28 A   
  16.00 keV   8.253E-01  6.935E+00     155 A        39 A        29 A   
  17.00 keV   8.507E-01  7.095E+00     160 A        40 A        30 A   
  18.00 keV   8.754E-01  7.246E+00     165 A        41 A        30 A   
  20.00 keV   9.228E-01  7.529E+00     174 A        43 A        32 A   
  22.50 keV   9.787E-01  7.849E+00     185 A        45 A        34 A   
  25.00 keV   1.032E+00  8.139E+00     196 A        47 A        36 A   
  27.50 keV   1.082E+00  8.403E+00     207 A        50 A        37 A   
  30.00 keV   1.130E+00  8.646E+00     217 A        52 A        39 A   
  32.50 keV   1.176E+00  8.870E+00     227 A        53 A        41 A   
  35.00 keV   1.221E+00  9.078E+00     236 A        55 A        42 A   
  37.50 keV   1.264E+00  9.271E+00     245 A        57 A        44 A   
  40.00 keV   1.305E+00  9.452E+00     255 A        59 A        45 A   
  45.00 keV   1.384E+00  9.782E+00     272 A        62 A        48 A   
  50.00 keV   1.459E+00  1.007E+01     290 A        65 A        51 A   
