 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 24, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\212Ra_120Sn.txt.txt

 Ion = Radium [88] , Mass = 212 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6570E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.755E-01  2.809E+00      59 A        32 A        23 A   
  11.00 keV   2.890E-01  2.929E+00      62 A        33 A        24 A   
  12.00 keV   3.018E-01  3.041E+00      65 A        35 A        25 A   
  13.00 keV   3.142E-01  3.146E+00      68 A        36 A        26 A   
  14.00 keV   3.260E-01  3.246E+00      70 A        37 A        27 A   
  15.00 keV   3.375E-01  3.340E+00      73 A        38 A        28 A   
  16.00 keV   3.485E-01  3.430E+00      75 A        39 A        29 A   
  17.00 keV   3.593E-01  3.515E+00      78 A        40 A        29 A   
  18.00 keV   3.697E-01  3.596E+00      80 A        42 A        30 A   
  20.00 keV   3.897E-01  3.749E+00      85 A        44 A        32 A   
  22.50 keV   4.133E-01  3.923E+00      90 A        46 A        33 A   
  25.00 keV   4.357E-01  4.081E+00      95 A        48 A        35 A   
  27.50 keV   4.569E-01  4.227E+00     101 A        51 A        37 A   
  30.00 keV   4.772E-01  4.361E+00     105 A        53 A        38 A   
  32.50 keV   4.967E-01  4.486E+00     110 A        55 A        40 A   
  35.00 keV   5.155E-01  4.603E+00     115 A        57 A        41 A   
  37.50 keV   5.336E-01  4.712E+00     120 A        59 A        43 A   
  40.00 keV   5.511E-01  4.815E+00     124 A        61 A        44 A   
  45.00 keV   5.845E-01  5.004E+00     133 A        64 A        47 A   
  50.00 keV   6.161E-01  5.173E+00     142 A        68 A        50 A   
