 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 24, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\212Ra_Si.txt

 Ion = Radium [88] , Mass = 212 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.943E-01  5.923E+00     120 A        31 A        23 A   
  11.00 keV   7.282E-01  6.164E+00     126 A        32 A        23 A   
  12.00 keV   7.606E-01  6.389E+00     131 A        34 A        24 A   
  13.00 keV   7.916E-01  6.600E+00     137 A        35 A        25 A   
  14.00 keV   8.215E-01  6.798E+00     142 A        36 A        26 A   
  15.00 keV   8.503E-01  6.985E+00     147 A        37 A        27 A   
  16.00 keV   8.782E-01  7.163E+00     152 A        38 A        28 A   
  17.00 keV   9.053E-01  7.331E+00     156 A        39 A        29 A   
  18.00 keV   9.315E-01  7.492E+00     161 A        40 A        30 A   
  20.00 keV   9.819E-01  7.791E+00     170 A        42 A        31 A   
  22.50 keV   1.041E+00  8.131E+00     181 A        44 A        33 A   
  25.00 keV   1.098E+00  8.440E+00     191 A        46 A        35 A   
  27.50 keV   1.151E+00  8.722E+00     201 A        48 A        36 A   
  30.00 keV   1.203E+00  8.981E+00     211 A        50 A        38 A   
  32.50 keV   1.252E+00  9.221E+00     220 A        52 A        40 A   
  35.00 keV   1.299E+00  9.443E+00     230 A        54 A        41 A   
  37.50 keV   1.344E+00  9.651E+00     239 A        56 A        43 A   
  40.00 keV   1.389E+00  9.846E+00     247 A        57 A        44 A   
  45.00 keV   1.473E+00  1.020E+01     264 A        60 A        47 A   
  50.00 keV   1.552E+00  1.052E+01     281 A        64 A        49 A   
