 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 24, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\214Ra_120Sn.txt

 Ion = Radium [88] , Mass = 214 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6570E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.742E-01  2.811E+00      60 A        32 A        23 A   
  11.00 keV   2.876E-01  2.931E+00      62 A        33 A        24 A   
  12.00 keV   3.004E-01  3.044E+00      65 A        35 A        25 A   
  13.00 keV   3.127E-01  3.149E+00      68 A        36 A        26 A   
  14.00 keV   3.245E-01  3.249E+00      70 A        37 A        27 A   
  15.00 keV   3.359E-01  3.343E+00      73 A        38 A        28 A   
  16.00 keV   3.469E-01  3.433E+00      75 A        39 A        29 A   
  17.00 keV   3.576E-01  3.518E+00      78 A        40 A        29 A   
  18.00 keV   3.679E-01  3.600E+00      80 A        42 A        30 A   
  20.00 keV   3.878E-01  3.753E+00      85 A        44 A        32 A   
  22.50 keV   4.114E-01  3.927E+00      90 A        46 A        33 A   
  25.00 keV   4.336E-01  4.086E+00      96 A        48 A        35 A   
  27.50 keV   4.548E-01  4.232E+00     101 A        50 A        37 A   
  30.00 keV   4.750E-01  4.367E+00     106 A        53 A        38 A   
  32.50 keV   4.944E-01  4.492E+00     111 A        55 A        40 A   
  35.00 keV   5.131E-01  4.609E+00     115 A        57 A        41 A   
  37.50 keV   5.311E-01  4.719E+00     120 A        59 A        43 A   
  40.00 keV   5.485E-01  4.822E+00     125 A        60 A        44 A   
  45.00 keV   5.818E-01  5.011E+00     133 A        64 A        47 A   
  50.00 keV   6.132E-01  5.181E+00     142 A        68 A        50 A   
