 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 29, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\214Ra_64Zn.txt

 Ion = Radium [88] , Mass = 214 amu

 Target Density =  7.1400E+00 g/cm3 = 6.7183E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.450E-01  4.218E+00      50 A        20 A        15 A   
  11.00 keV   2.570E-01  4.395E+00      53 A        21 A        15 A   
  12.00 keV   2.684E-01  4.559E+00      55 A        22 A        16 A   
  13.00 keV   2.793E-01  4.714E+00      57 A        23 A        16 A   
  14.00 keV   2.899E-01  4.860E+00      59 A        23 A        17 A   
  15.00 keV   3.001E-01  4.998E+00      61 A        24 A        18 A   
  16.00 keV   3.099E-01  5.129E+00      63 A        25 A        18 A   
  17.00 keV   3.194E-01  5.254E+00      65 A        25 A        19 A   
  18.00 keV   3.287E-01  5.373E+00      67 A        26 A        19 A   
  20.00 keV   3.465E-01  5.595E+00      71 A        27 A        20 A   
  22.50 keV   3.675E-01  5.849E+00      76 A        29 A        21 A   
  25.00 keV   3.874E-01  6.079E+00      80 A        30 A        22 A   
  27.50 keV   4.063E-01  6.290E+00      84 A        31 A        23 A   
  30.00 keV   4.243E-01  6.485E+00      88 A        33 A        24 A   
  32.50 keV   4.417E-01  6.666E+00      92 A        34 A        25 A   
  35.00 keV   4.583E-01  6.834E+00      96 A        35 A        26 A   
  37.50 keV   4.744E-01  6.991E+00     100 A        36 A        27 A   
  40.00 keV   4.900E-01  7.139E+00     104 A        37 A        28 A   
  45.00 keV   5.197E-01  7.410E+00     111 A        40 A        30 A   
  50.00 keV   5.478E-01  7.652E+00     118 A        42 A        32 A   
