 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\220Rn_114Cd.txt

 Ion = Radon [86] , Mass = 220 amu

 Target Density =  8.6420E+00 g/cm3 = 4.5651E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cd     48    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.035E-01  2.897E+00      51 A        27 A        19 A   
  11.00 keV   2.135E-01  3.021E+00      53 A        28 A        20 A   
  12.00 keV   2.230E-01  3.136E+00      56 A        29 A        21 A   
  13.00 keV   2.321E-01  3.244E+00      58 A        30 A        22 A   
  14.00 keV   2.408E-01  3.347E+00      60 A        31 A        22 A   
  15.00 keV   2.493E-01  3.444E+00      62 A        32 A        23 A   
  16.00 keV   2.574E-01  3.536E+00      64 A        33 A        24 A   
  17.00 keV   2.654E-01  3.623E+00      67 A        34 A        24 A   
  18.00 keV   2.731E-01  3.707E+00      69 A        35 A        25 A   
  20.00 keV   2.878E-01  3.864E+00      72 A        36 A        26 A   
  22.50 keV   3.053E-01  4.042E+00      77 A        38 A        28 A   
  25.00 keV   3.218E-01  4.205E+00      82 A        40 A        29 A   
  27.50 keV   3.375E-01  4.355E+00      86 A        42 A        31 A   
  30.00 keV   3.525E-01  4.493E+00      90 A        44 A        32 A   
  32.50 keV   3.669E-01  4.621E+00      95 A        45 A        33 A   
  35.00 keV   3.808E-01  4.741E+00      99 A        47 A        35 A   
  37.50 keV   3.941E-01  4.853E+00     103 A        49 A        36 A   
  40.00 keV   4.071E-01  4.958E+00     106 A        50 A        37 A   
  45.00 keV   4.318E-01  5.152E+00     114 A        53 A        39 A   
  50.00 keV   4.551E-01  5.326E+00     121 A        56 A        41 A   
