 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\220Rn_120Sn.txt

 Ion = Radon [86] , Mass = 222 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.648E-01  2.792E+00      61 A        32 A        23 A   
  11.00 keV   2.777E-01  2.911E+00      64 A        34 A        24 A   
  12.00 keV   2.901E-01  3.022E+00      67 A        35 A        25 A   
  13.00 keV   3.019E-01  3.127E+00      69 A        36 A        26 A   
  14.00 keV   3.133E-01  3.226E+00      72 A        37 A        27 A   
  15.00 keV   3.243E-01  3.319E+00      75 A        38 A        28 A   
  16.00 keV   3.350E-01  3.408E+00      77 A        40 A        29 A   
  17.00 keV   3.453E-01  3.493E+00      80 A        41 A        30 A   
  18.00 keV   3.553E-01  3.574E+00      82 A        42 A        30 A   
  20.00 keV   3.745E-01  3.726E+00      87 A        44 A        32 A   
  22.50 keV   3.972E-01  3.899E+00      92 A        46 A        34 A   
  25.00 keV   4.187E-01  4.056E+00      98 A        49 A        35 A   
  27.50 keV   4.392E-01  4.201E+00     103 A        51 A        37 A   
  30.00 keV   4.587E-01  4.335E+00     108 A        53 A        39 A   
  32.50 keV   4.774E-01  4.459E+00     113 A        55 A        40 A   
  35.00 keV   4.954E-01  4.575E+00     118 A        57 A        42 A   
  37.50 keV   5.128E-01  4.684E+00     123 A        59 A        43 A   
  40.00 keV   5.296E-01  4.786E+00     127 A        61 A        45 A   
  45.00 keV   5.618E-01  4.974E+00     136 A        64 A        47 A   
  50.00 keV   5.922E-01  5.143E+00     145 A        68 A        50 A   
