 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\220Rn_Si.txt

 Ion = Radon [86] , Mass = 220 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.708E-01  5.816E+00     123 A        31 A        23 A   
  11.00 keV   7.036E-01  6.053E+00     129 A        33 A        24 A   
  12.00 keV   7.349E-01  6.274E+00     135 A        34 A        25 A   
  13.00 keV   7.649E-01  6.481E+00     140 A        35 A        26 A   
  14.00 keV   7.938E-01  6.676E+00     145 A        36 A        26 A   
  15.00 keV   8.216E-01  6.860E+00     151 A        37 A        27 A   
  16.00 keV   8.486E-01  7.034E+00     156 A        38 A        28 A   
  17.00 keV   8.747E-01  7.200E+00     160 A        39 A        29 A   
  18.00 keV   9.000E-01  7.358E+00     165 A        40 A        30 A   
  20.00 keV   9.487E-01  7.652E+00     174 A        42 A        31 A   
  22.50 keV   1.006E+00  7.987E+00     185 A        44 A        33 A   
  25.00 keV   1.061E+00  8.290E+00     196 A        47 A        35 A   
  27.50 keV   1.112E+00  8.568E+00     206 A        49 A        37 A   
  30.00 keV   1.162E+00  8.823E+00     216 A        51 A        38 A   
  32.50 keV   1.209E+00  9.059E+00     226 A        52 A        40 A   
  35.00 keV   1.255E+00  9.278E+00     235 A        54 A        41 A   
  37.50 keV   1.299E+00  9.483E+00     244 A        56 A        43 A   
  40.00 keV   1.342E+00  9.675E+00     253 A        58 A        44 A   
  45.00 keV   1.423E+00  1.002E+01     271 A        61 A        47 A   
  50.00 keV   1.500E+00  1.034E+01     288 A        64 A        50 A   
