 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\222Ra_Si.txt

 Ion = Radium [88] , Mass = 222 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.575E+02  1.358E+03     123 A        31 A        23 A   
  11.00 keV   1.652E+02  1.414E+03     129 A        33 A        24 A   
  12.00 keV   1.725E+02  1.466E+03     134 A        34 A        24 A   
  13.00 keV   1.796E+02  1.515E+03     140 A        35 A        25 A   
  14.00 keV   1.863E+02  1.561E+03     145 A        36 A        26 A   
  15.00 keV   1.929E+02  1.604E+03     150 A        37 A        27 A   
  16.00 keV   1.992E+02  1.645E+03     155 A        38 A        28 A   
  17.00 keV   2.053E+02  1.684E+03     160 A        39 A        29 A   
  18.00 keV   2.113E+02  1.721E+03     164 A        40 A        30 A   
  20.00 keV   2.227E+02  1.791E+03     174 A        42 A        31 A   
  22.50 keV   2.362E+02  1.870E+03     185 A        44 A        33 A   
  25.00 keV   2.490E+02  1.941E+03     195 A        46 A        35 A   
  27.50 keV   2.612E+02  2.007E+03     205 A        48 A        36 A   
  30.00 keV   2.728E+02  2.067E+03     215 A        50 A        38 A   
  32.50 keV   2.839E+02  2.123E+03     225 A        52 A        39 A   
  35.00 keV   2.946E+02  2.175E+03     234 A        54 A        41 A   
  37.50 keV   3.050E+02  2.223E+03     243 A        56 A        42 A   
  40.00 keV   3.150E+02  2.269E+03     252 A        57 A        44 A   
  45.00 keV   3.341E+02  2.352E+03     269 A        60 A        47 A   
  50.00 keV   3.521E+02  2.426E+03     286 A        64 A        49 A   
