 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\222Rn_Si.txt

 Ion = Radon [86] , Mass = 222 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.550E+02  1.347E+03     124 A        31 A        23 A   
  11.00 keV   1.626E+02  1.402E+03     130 A        33 A        24 A   
  12.00 keV   1.698E+02  1.453E+03     135 A        34 A        25 A   
  13.00 keV   1.767E+02  1.501E+03     141 A        35 A        26 A   
  14.00 keV   1.834E+02  1.546E+03     146 A        36 A        26 A   
  15.00 keV   1.898E+02  1.589E+03     151 A        37 A        27 A   
  16.00 keV   1.961E+02  1.629E+03     156 A        38 A        28 A   
  17.00 keV   2.021E+02  1.668E+03     161 A        39 A        29 A   
  18.00 keV   2.080E+02  1.704E+03     166 A        40 A        30 A   
  20.00 keV   2.192E+02  1.773E+03     175 A        42 A        31 A   
  22.50 keV   2.325E+02  1.850E+03     186 A        44 A        33 A   
  25.00 keV   2.451E+02  1.921E+03     197 A        47 A        35 A   
  27.50 keV   2.571E+02  1.985E+03     207 A        49 A        37 A   
  30.00 keV   2.685E+02  2.045E+03     217 A        51 A        38 A   
  32.50 keV   2.794E+02  2.099E+03     227 A        52 A        40 A   
  35.00 keV   2.900E+02  2.150E+03     236 A        54 A        41 A   
  37.50 keV   3.002E+02  2.198E+03     245 A        56 A        43 A   
  40.00 keV   3.100E+02  2.242E+03     254 A        58 A        44 A   
  45.00 keV   3.288E+02  2.324E+03     272 A        61 A        47 A   
  50.00 keV   3.466E+02  2.396E+03     289 A        64 A        50 A   
