 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 05, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\224Rn_120Sn.txt

 Ion = Radon [86] , Mass = 224 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.636E-01  2.793E+00      61 A        32 A        23 A   
  11.00 keV   2.765E-01  2.912E+00      64 A        34 A        24 A   
  12.00 keV   2.888E-01  3.024E+00      67 A        35 A        25 A   
  13.00 keV   3.006E-01  3.129E+00      70 A        36 A        26 A   
  14.00 keV   3.119E-01  3.228E+00      72 A        37 A        27 A   
  15.00 keV   3.229E-01  3.322E+00      75 A        38 A        28 A   
  16.00 keV   3.335E-01  3.411E+00      77 A        40 A        29 A   
  17.00 keV   3.437E-01  3.496E+00      80 A        41 A        29 A   
  18.00 keV   3.537E-01  3.577E+00      82 A        42 A        30 A   
  20.00 keV   3.728E-01  3.729E+00      87 A        44 A        32 A   
  22.50 keV   3.955E-01  3.902E+00      93 A        46 A        34 A   
  25.00 keV   4.168E-01  4.060E+00      98 A        48 A        35 A   
  27.50 keV   4.372E-01  4.205E+00     103 A        51 A        37 A   
  30.00 keV   4.566E-01  4.340E+00     108 A        53 A        39 A   
  32.50 keV   4.753E-01  4.464E+00     113 A        55 A        40 A   
  35.00 keV   4.932E-01  4.581E+00     118 A        57 A        42 A   
  37.50 keV   5.105E-01  4.690E+00     123 A        59 A        43 A   
  40.00 keV   5.273E-01  4.792E+00     127 A        61 A        45 A   
  45.00 keV   5.593E-01  4.980E+00     136 A        64 A        47 A   
  50.00 keV   5.895E-01  5.149E+00     145 A        68 A        50 A   
