 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 30, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\228Ra_120Sn.txt

 Ion = Radium [88] , Mass = 228 amu

 Target Density =  7.2816E+00 g/cm3 = 3.6541E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Sn     50    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.655E-01  2.820E+00      61 A        32 A        23 A   
  11.00 keV   2.784E-01  2.942E+00      64 A        33 A        24 A   
  12.00 keV   2.908E-01  3.055E+00      67 A        35 A        25 A   
  13.00 keV   3.027E-01  3.162E+00      69 A        36 A        26 A   
  14.00 keV   3.141E-01  3.263E+00      72 A        37 A        27 A   
  15.00 keV   3.251E-01  3.358E+00      75 A        38 A        28 A   
  16.00 keV   3.358E-01  3.449E+00      77 A        39 A        28 A   
  17.00 keV   3.461E-01  3.535E+00      80 A        40 A        29 A   
  18.00 keV   3.562E-01  3.618E+00      82 A        41 A        30 A   
  20.00 keV   3.754E-01  3.773E+00      87 A        43 A        32 A   
  22.50 keV   3.982E-01  3.949E+00      92 A        46 A        33 A   
  25.00 keV   4.198E-01  4.111E+00      98 A        48 A        35 A   
  27.50 keV   4.403E-01  4.259E+00     103 A        50 A        37 A   
  30.00 keV   4.598E-01  4.396E+00     108 A        52 A        38 A   
  32.50 keV   4.786E-01  4.523E+00     113 A        54 A        40 A   
  35.00 keV   4.967E-01  4.642E+00     118 A        56 A        41 A   
  37.50 keV   5.141E-01  4.754E+00     122 A        58 A        43 A   
  40.00 keV   5.310E-01  4.859E+00     127 A        60 A        44 A   
  45.00 keV   5.632E-01  5.052E+00     136 A        64 A        47 A   
  50.00 keV   5.936E-01  5.225E+00     144 A        67 A        49 A   
