 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 02, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_194Pt.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  2.1450E+01 g/cm3 = 6.6583E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.973E-02  1.455E-01      61 A        90 A        67 A   
  11.00 keV   5.216E-02  1.481E-01      65 A        96 A        72 A   
  12.00 keV   5.448E-02  1.503E-01      70 A       102 A        76 A   
  13.00 keV   5.671E-02  1.522E-01      75 A       108 A        80 A   
  14.00 keV   5.885E-02  1.539E-01      79 A       114 A        85 A   
  15.00 keV   6.091E-02  1.555E-01      84 A       119 A        89 A   
  16.00 keV   6.291E-02  1.568E-01      88 A       125 A        93 A   
  17.00 keV   6.484E-02  1.580E-01      93 A       131 A        97 A   
  18.00 keV   6.672E-02  1.591E-01      98 A       136 A       101 A   
  20.00 keV   7.033E-02  1.609E-01     107 A       147 A       110 A   
  22.50 keV   7.460E-02  1.626E-01     118 A       160 A       120 A   
  25.00 keV   7.864E-02  1.639E-01     129 A       173 A       129 A   
  27.50 keV   8.247E-02  1.649E-01     141 A       186 A       139 A   
  30.00 keV   8.614E-02  1.656E-01     152 A       199 A       149 A   
  32.50 keV   8.966E-02  1.660E-01     163 A       211 A       158 A   
  35.00 keV   9.304E-02  1.663E-01     175 A       223 A       167 A   
  37.50 keV   9.631E-02  1.664E-01     186 A       236 A       177 A   
  40.00 keV   9.947E-02  1.664E-01     198 A       248 A       186 A   
  45.00 keV   1.085E-01  1.661E-01     221 A       272 A       204 A   
  50.00 keV   1.268E-01  1.655E-01     243 A       295 A       221 A   
