 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 14, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_196Pt.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.923E-02  1.427E-01      61 A        92 A        68 A   
  11.00 keV   5.163E-02  1.452E-01      66 A        98 A        73 A   
  12.00 keV   5.392E-02  1.474E-01      71 A       104 A        77 A   
  13.00 keV   5.613E-02  1.493E-01      75 A       110 A        82 A   
  14.00 keV   5.825E-02  1.510E-01      80 A       115 A        86 A   
  15.00 keV   6.029E-02  1.525E-01      85 A       121 A        90 A   
  16.00 keV   6.227E-02  1.538E-01      89 A       127 A        94 A   
  17.00 keV   6.418E-02  1.550E-01      94 A       132 A        99 A   
  18.00 keV   6.604E-02  1.560E-01      99 A       138 A       103 A   
  20.00 keV   6.962E-02  1.578E-01     108 A       149 A       111 A   
  22.50 keV   7.384E-02  1.595E-01     119 A       162 A       121 A   
  25.00 keV   7.783E-02  1.608E-01     131 A       176 A       131 A   
  27.50 keV   8.163E-02  1.617E-01     142 A       189 A       141 A   
  30.00 keV   8.526E-02  1.624E-01     154 A       201 A       151 A   
  32.50 keV   8.874E-02  1.628E-01     165 A       214 A       160 A   
  35.00 keV   9.209E-02  1.631E-01     177 A       227 A       170 A   
  37.50 keV   9.533E-02  1.632E-01     188 A       239 A       179 A   
  40.00 keV   9.845E-02  1.632E-01     200 A       252 A       188 A   
  45.00 keV   1.074E-01  1.629E-01     223 A       276 A       207 A   
  50.00 keV   1.255E-01  1.623E-01     246 A       299 A       224 A   
