 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 31, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_48Ti.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6693E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.926E-01  6.914E-01     154 A       109 A        79 A   
  11.00 keV   2.020E-01  6.929E-01     167 A       117 A        85 A   
  12.00 keV   2.109E-01  6.934E-01     180 A       125 A        91 A   
  13.00 keV   2.195E-01  6.930E-01     194 A       133 A        96 A   
  14.00 keV   2.278E-01  6.920E-01     207 A       141 A       102 A   
  15.00 keV   2.358E-01  6.905E-01     220 A       149 A       107 A   
  16.00 keV   2.436E-01  6.886E-01     234 A       156 A       113 A   
  17.00 keV   2.511E-01  6.864E-01     247 A       164 A       118 A   
  18.00 keV   2.583E-01  6.838E-01     260 A       172 A       124 A   
  20.00 keV   2.723E-01  6.781E-01     287 A       187 A       135 A   
  22.50 keV   2.888E-01  6.700E-01     321 A       205 A       148 A   
  25.00 keV   3.045E-01  6.614E-01     355 A       223 A       161 A   
  27.50 keV   3.193E-01  6.525E-01     389 A       241 A       174 A   
  30.00 keV   3.335E-01  6.435E-01     423 A       259 A       187 A   
  32.50 keV   3.471E-01  6.345E-01     458 A       276 A       200 A   
  35.00 keV   3.602E-01  6.255E-01     492 A       294 A       213 A   
  37.50 keV   3.729E-01  6.166E-01     527 A       311 A       226 A   
  40.00 keV   3.851E-01  6.079E-01     563 A       328 A       238 A   
  45.00 keV   4.223E-01  5.911E-01     633 A       360 A       264 A   
  50.00 keV   5.017E-01  5.750E-01     701 A       390 A       289 A   
