 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 16, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\22Ne_Ta.txt

 Ion = Neon [10] , Mass = 22 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.325E-02  1.588E-01      75 A       106 A        79 A   
  11.00 keV   6.634E-02  1.615E-01      81 A       113 A        84 A   
  12.00 keV   6.929E-02  1.638E-01      87 A       120 A        89 A   
  13.00 keV   7.212E-02  1.658E-01      93 A       127 A        95 A   
  14.00 keV   7.484E-02  1.676E-01      98 A       133 A       100 A   
  15.00 keV   7.747E-02  1.691E-01     104 A       140 A       105 A   
  16.00 keV   8.001E-02  1.705E-01     110 A       146 A       109 A   
  17.00 keV   8.247E-02  1.717E-01     116 A       153 A       114 A   
  18.00 keV   8.486E-02  1.728E-01     121 A       159 A       119 A   
  20.00 keV   8.945E-02  1.746E-01     133 A       172 A       129 A   
  22.50 keV   9.488E-02  1.763E-01     147 A       187 A       140 A   
  25.00 keV   1.000E-01  1.775E-01     161 A       202 A       152 A   
  27.50 keV   1.049E-01  1.784E-01     175 A       217 A       163 A   
  30.00 keV   1.096E-01  1.789E-01     189 A       232 A       174 A   
  32.50 keV   1.140E-01  1.793E-01     203 A       246 A       185 A   
  35.00 keV   1.183E-01  1.794E-01     217 A       261 A       196 A   
  37.50 keV   1.225E-01  1.794E-01     231 A       275 A       206 A   
  40.00 keV   1.265E-01  1.793E-01     246 A       289 A       217 A   
  45.00 keV   1.361E-01  1.787E-01     274 A       317 A       237 A   
  50.00 keV   1.508E-01  1.778E-01     302 A       344 A       258 A   
