 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 11, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_in_7Li.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.468E-01  1.553E-02    6198 A      1149 A      1259 A   
  11.00 keV   3.609E-01  1.450E-02    6678 A      1184 A      1314 A   
  12.00 keV   3.743E-01  1.362E-02    7144 A      1215 A      1365 A   
  13.00 keV   3.871E-01  1.284E-02    7597 A      1243 A      1412 A   
  14.00 keV   3.997E-01  1.216E-02    8038 A      1269 A      1456 A   
  15.00 keV   4.120E-01  1.155E-02    8468 A      1293 A      1497 A   
  16.00 keV   4.243E-01  1.101E-02    8888 A      1315 A      1536 A   
  17.00 keV   4.365E-01  1.052E-02    9297 A      1335 A      1572 A   
  18.00 keV   4.487E-01  1.008E-02    9697 A      1354 A      1606 A   
  20.00 keV   4.731E-01  9.305E-03    1.05 um     1389 A      1669 A   
  22.50 keV   5.034E-01  8.504E-03    1.14 um     1428 A      1739 A   
  25.00 keV   5.332E-01  7.842E-03    1.22 um     1462 A      1800 A   
  27.50 keV   5.622E-01  7.284E-03    1.31 um     1491 A      1855 A   
  30.00 keV   5.901E-01  6.807E-03    1.39 um     1517 A      1904 A   
  32.50 keV   6.168E-01  6.394E-03    1.46 um     1539 A      1948 A   
  35.00 keV   6.423E-01  6.032E-03    1.53 um     1559 A      1989 A   
  37.50 keV   6.664E-01  5.712E-03    1.60 um     1577 A      2026 A   
  40.00 keV   6.891E-01  5.427E-03    1.67 um     1594 A      2060 A   
