 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 16, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\40Ar_150Nd.txt

 Ion = Argon [18] , Mass = 40 amu

 Target Density =  7.0080E+00 g/cm3 = 2.8135E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nd     60    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.343E-01  4.775E-01     111 A       113 A        87 A   
  11.00 keV   1.409E-01  4.883E-01     119 A       120 A        92 A   
  12.00 keV   1.472E-01  4.979E-01     127 A       127 A        97 A   
  13.00 keV   1.532E-01  5.066E-01     135 A       133 A       102 A   
  14.00 keV   1.589E-01  5.144E-01     142 A       140 A       107 A   
  15.00 keV   1.645E-01  5.215E-01     150 A       146 A       112 A   
  16.00 keV   1.699E-01  5.280E-01     157 A       152 A       117 A   
  17.00 keV   1.752E-01  5.339E-01     164 A       158 A       121 A   
  18.00 keV   1.802E-01  5.393E-01     172 A       164 A       126 A   
  20.00 keV   1.900E-01  5.489E-01     186 A       176 A       135 A   
  22.50 keV   2.015E-01  5.590E-01     204 A       191 A       146 A   
  25.00 keV   2.124E-01  5.673E-01     222 A       205 A       157 A   
  27.50 keV   2.228E-01  5.742E-01     239 A       219 A       167 A   
  30.00 keV   2.327E-01  5.800E-01     257 A       233 A       178 A   
  32.50 keV   2.422E-01  5.848E-01     274 A       247 A       188 A   
  35.00 keV   2.513E-01  5.889E-01     291 A       260 A       198 A   
  37.50 keV   2.601E-01  5.923E-01     308 A       274 A       208 A   
  40.00 keV   2.687E-01  5.951E-01     325 A       287 A       217 A   
  45.00 keV   2.850E-01  5.993E-01     359 A       313 A       236 A   
  50.00 keV   3.004E-01  6.020E-01     393 A       338 A       254 A   
