 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04

SRIM
              Calc. date   ---> July 19, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Ti48_48Ti

 Ion = Titanium [22] , Mass = 48 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6693E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.048E-01  1.936E+00      91 A        52 A        38 A   
  11.00 keV   2.148E-01  1.971E+00      98 A        55 A        40 A   
  12.00 keV   2.244E-01  2.001E+00     104 A        58 A        42 A   
  13.00 keV   2.335E-01  2.027E+00     110 A        61 A        44 A   
  14.00 keV   2.424E-01  2.050E+00     117 A        64 A        47 A   
  15.00 keV   2.509E-01  2.071E+00     123 A        67 A        49 A   
  16.00 keV   2.591E-01  2.090E+00     129 A        70 A        51 A   
  17.00 keV   2.671E-01  2.106E+00     135 A        73 A        53 A   
  18.00 keV   2.748E-01  2.121E+00     141 A        76 A        55 A   
  20.00 keV   2.897E-01  2.146E+00     153 A        82 A        59 A   
  22.50 keV   3.072E-01  2.170E+00     168 A        89 A        64 A   
  25.00 keV   3.239E-01  2.188E+00     183 A        96 A        69 A   
  27.50 keV   3.397E-01  2.202E+00     198 A       102 A        74 A   
  30.00 keV   3.548E-01  2.212E+00     213 A       109 A        78 A   
  32.50 keV   3.693E-01  2.218E+00     228 A       116 A        83 A   
  35.00 keV   3.832E-01  2.223E+00     242 A       122 A        87 A   
  37.50 keV   3.967E-01  2.225E+00     257 A       129 A        92 A   
  40.00 keV   4.097E-01  2.225E+00     272 A       135 A        96 A   
  45.00 keV   4.345E-01  2.223E+00     301 A       148 A       105 A   
