 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 09, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in Gold.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.818E-02  7.223E-03     227 A       338 A       251 A   
  11.00 keV   5.056E-02  7.161E-03     249 A       361 A       268 A   
  12.00 keV   5.283E-02  7.095E-03     270 A       382 A       285 A   
  13.00 keV   5.502E-02  7.026E-03     292 A       403 A       301 A   
  14.00 keV   5.712E-02  6.954E-03     314 A       424 A       317 A   
  15.00 keV   5.915E-02  6.882E-03     336 A       444 A       333 A   
  16.00 keV   6.112E-02  6.809E-03     357 A       463 A       348 A   
  17.00 keV   6.302E-02  6.736E-03     379 A       482 A       363 A   
  18.00 keV   6.487E-02  6.663E-03     401 A       501 A       378 A   
  20.00 keV   6.842E-02  6.520E-03     445 A       536 A       407 A   
  22.50 keV   7.261E-02  6.347E-03     501 A       579 A       442 A   
  25.00 keV   7.657E-02  6.181E-03     556 A       620 A       475 A   
  27.50 keV   8.033E-02  6.023E-03     612 A       659 A       507 A   
  30.00 keV   8.393E-02  5.873E-03     668 A       697 A       539 A   
  32.50 keV   8.737E-02  5.731E-03     723 A       733 A       569 A   
  35.00 keV   9.069E-02  5.596E-03     779 A       768 A       599 A   
  37.50 keV   9.390E-02  5.467E-03     835 A       802 A       628 A   
  40.00 keV   9.701E-02  5.346E-03     891 A       834 A       656 A   
  45.00 keV   1.030E-01  5.120E-03    1002 A       896 A       710 A   
  50.00 keV   1.087E-01  4.915E-03    1113 A       954 A       762 A   
