 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 11, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_in_7Li.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.138E-01  6.297E-02    4660 A      1275 A      1206 A   
  11.00 keV   3.311E-01  5.921E-02    5088 A      1341 A      1289 A   
  12.00 keV   3.475E-01  5.593E-02    5506 A      1402 A      1366 A   
  13.00 keV   3.629E-01  5.304E-02    5914 A      1457 A      1440 A   
  14.00 keV   3.772E-01  5.047E-02    6312 A      1508 A      1508 A   
  15.00 keV   3.906E-01  4.817E-02    6702 A      1556 A      1574 A   
  16.00 keV   4.028E-01  4.609E-02    7085 A      1600 A      1636 A   
  17.00 keV   4.139E-01  4.421E-02    7462 A      1642 A      1695 A   
  18.00 keV   4.238E-01  4.249E-02    7834 A      1681 A      1751 A   
  20.00 keV   4.407E-01  3.947E-02    8563 A      1755 A      1857 A   
  22.50 keV   4.583E-01  3.631E-02    9456 A      1839 A      1980 A   
  25.00 keV   4.759E-01  3.367E-02    1.03 um     1915 A      2093 A   
  27.50 keV   4.965E-01  3.143E-02    1.12 um     1983 A      2197 A   
  30.00 keV   5.207E-01  2.949E-02    1.20 um     2044 A      2293 A   
  32.50 keV   5.476E-01  2.781E-02    1.28 um     2099 A      2382 A   
  35.00 keV   5.760E-01  2.632E-02    1.35 um     2148 A      2464 A   
  37.50 keV   6.050E-01  2.501E-02    1.43 um     2191 A      2539 A   
  40.00 keV   6.340E-01  2.383E-02    1.50 um     2231 A      2609 A   
