 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 11, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_in_Si.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.310E-01  4.434E-02    1040 A       605 A       502 A   
  11.00 keV   2.421E-01  4.246E-02    1141 A       642 A       536 A   
  12.00 keV   2.526E-01  4.076E-02    1240 A       676 A       569 A   
  13.00 keV   2.628E-01  3.922E-02    1338 A       708 A       601 A   
  14.00 keV   2.730E-01  3.780E-02    1436 A       739 A       632 A   
  15.00 keV   2.831E-01  3.651E-02    1532 A       768 A       662 A   
  16.00 keV   2.933E-01  3.531E-02    1627 A       795 A       690 A   
  17.00 keV   3.035E-01  3.420E-02    1721 A       821 A       718 A   
  18.00 keV   3.138E-01  3.317E-02    1813 A       846 A       744 A   
  20.00 keV   3.343E-01  3.131E-02    1994 A       891 A       794 A   
  22.50 keV   3.596E-01  2.931E-02    2212 A       943 A       852 A   
  25.00 keV   3.843E-01  2.758E-02    2422 A       988 A       905 A   
  27.50 keV   4.082E-01  2.608E-02    2625 A      1029 A       953 A   
  30.00 keV   4.315E-01  2.475E-02    2820 A      1065 A       998 A   
  32.50 keV   4.540E-01  2.357E-02    3010 A      1099 A      1040 A   
  35.00 keV   4.758E-01  2.251E-02    3193 A      1129 A      1078 A   
  37.50 keV   4.970E-01  2.156E-02    3372 A      1156 A      1114 A   
  40.00 keV   5.176E-01  2.069E-02    3545 A      1182 A      1148 A   
  45.00 keV   5.570E-01  1.918E-02    3878 A      1227 A      1210 A   
