 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 17, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\58Ni_Si.txt

 Ion = Nickel [28] , Mass = 58 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.986E+01  8.231E+02     129 A        54 A        40 A   
  11.00 keV   4.181E+01  8.395E+02     138 A        57 A        43 A   
  12.00 keV   4.366E+01  8.540E+02     146 A        60 A        45 A   
  13.00 keV   4.545E+01  8.669E+02     155 A        63 A        47 A   
  14.00 keV   4.716E+01  8.784E+02     163 A        66 A        50 A   
  15.00 keV   4.882E+01  8.887E+02     171 A        69 A        52 A   
  16.00 keV   5.042E+01  8.981E+02     180 A        71 A        54 A   
  17.00 keV   5.197E+01  9.065E+02     188 A        74 A        56 A   
  18.00 keV   5.348E+01  9.141E+02     196 A        77 A        58 A   
  20.00 keV   5.637E+01  9.273E+02     212 A        82 A        62 A   
  22.50 keV   5.979E+01  9.407E+02     232 A        89 A        67 A   
  25.00 keV   6.302E+01  9.514E+02     251 A        96 A        72 A   
  27.50 keV   6.610E+01  9.598E+02     270 A       102 A        77 A   
  30.00 keV   6.904E+01  9.666E+02     290 A       108 A        82 A   
  32.50 keV   7.186E+01  9.718E+02     309 A       115 A        86 A   
  35.00 keV   7.457E+01  9.759E+02     328 A       121 A        91 A   
  37.50 keV   7.719E+01  9.790E+02     347 A       127 A        95 A   
  40.00 keV   7.972E+01  9.812E+02     366 A       133 A       100 A   
  45.00 keV   8.456E+01  9.836E+02     404 A       145 A       109 A   
  50.00 keV   8.913E+01  9.839E+02     441 A       157 A       117 A   
