 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\60Ni_60Ni.txt

 Ion = Nickel [28] , Mass = 60 amu

 Target Density =  8.8955E+00 g/cm3 = 8.9281E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.086E-02  2.109E+00      46 A        28 A        20 A   
  11.00 keV   7.431E-02  2.158E+00      49 A        30 A        21 A   
  12.00 keV   7.762E-02  2.203E+00      52 A        31 A        22 A   
  13.00 keV   8.079E-02  2.243E+00      55 A        33 A        24 A   
  14.00 keV   8.384E-02  2.279E+00      58 A        34 A        25 A   
  15.00 keV   8.678E-02  2.312E+00      61 A        36 A        26 A   
  16.00 keV   8.963E-02  2.343E+00      64 A        37 A        27 A   
  17.00 keV   9.239E-02  2.370E+00      66 A        39 A        28 A   
  18.00 keV   9.506E-02  2.396E+00      69 A        40 A        29 A   
  20.00 keV   1.002E-01  2.441E+00      75 A        43 A        31 A   
  22.50 keV   1.063E-01  2.489E+00      82 A        46 A        33 A   
  25.00 keV   1.120E-01  2.529E+00      89 A        50 A        36 A   
  27.50 keV   1.175E-01  2.563E+00      95 A        53 A        38 A   
  30.00 keV   1.227E-01  2.592E+00     102 A        57 A        41 A   
  32.50 keV   1.277E-01  2.616E+00     109 A        60 A        43 A   
  35.00 keV   1.326E-01  2.636E+00     115 A        63 A        45 A   
  37.50 keV   1.372E-01  2.654E+00     122 A        66 A        47 A   
  40.00 keV   1.417E-01  2.669E+00     129 A        69 A        50 A   
  45.00 keV   1.503E-01  2.692E+00     142 A        76 A        54 A   
  50.00 keV   1.584E-01  2.708E+00     155 A        82 A        58 A   
