 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 06, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\60Ni_Si.txt

 Ion = Nickel [28] , Mass = 60 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.688E-01  3.568E+00     130 A        53 A        40 A   
  11.00 keV   1.771E-01  3.640E+00     139 A        56 A        42 A   
  12.00 keV   1.850E-01  3.703E+00     147 A        59 A        45 A   
  13.00 keV   1.925E-01  3.760E+00     156 A        62 A        47 A   
  14.00 keV   1.998E-01  3.811E+00     164 A        65 A        49 A   
  15.00 keV   2.068E-01  3.856E+00     172 A        68 A        51 A   
  16.00 keV   2.136E-01  3.897E+00     180 A        71 A        53 A   
  17.00 keV   2.201E-01  3.935E+00     189 A        74 A        56 A   
  18.00 keV   2.265E-01  3.968E+00     197 A        76 A        58 A   
  20.00 keV   2.388E-01  4.027E+00     213 A        82 A        62 A   
  22.50 keV   2.533E-01  4.087E+00     232 A        88 A        67 A   
  25.00 keV   2.670E-01  4.134E+00     252 A        95 A        71 A   
  27.50 keV   2.800E-01  4.172E+00     271 A       101 A        76 A   
  30.00 keV   2.924E-01  4.203E+00     290 A       107 A        81 A   
  32.50 keV   3.044E-01  4.227E+00     309 A       113 A        85 A   
  35.00 keV   3.159E-01  4.246E+00     328 A       119 A        90 A   
  37.50 keV   3.270E-01  4.260E+00     347 A       125 A        94 A   
  40.00 keV   3.377E-01  4.271E+00     366 A       131 A        99 A   
  45.00 keV   3.582E-01  4.283E+00     404 A       143 A       108 A   
  50.00 keV   3.775E-01  4.286E+00     442 A       155 A       116 A   
