 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 05, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\62Mn_Si.txt

 Ion = Manganese [25] , Mass = 62 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.570E-01  3.336E+00     136 A        54 A        41 A   
  11.00 keV   2.696E-01  3.400E+00     146 A        57 A        43 A   
  12.00 keV   2.815E-01  3.455E+00     155 A        60 A        46 A   
  13.00 keV   2.930E-01  3.505E+00     164 A        63 A        48 A   
  14.00 keV   3.041E-01  3.549E+00     172 A        66 A        50 A   
  15.00 keV   3.148E-01  3.588E+00     181 A        69 A        52 A   
  16.00 keV   3.251E-01  3.624E+00     190 A        72 A        54 A   
  17.00 keV   3.351E-01  3.655E+00     198 A        74 A        57 A   
  18.00 keV   3.448E-01  3.684E+00     207 A        77 A        59 A   
  20.00 keV   3.635E-01  3.733E+00     224 A        83 A        63 A   
  22.50 keV   3.855E-01  3.782E+00     245 A        89 A        68 A   
  25.00 keV   4.064E-01  3.820E+00     265 A        96 A        73 A   
  27.50 keV   4.262E-01  3.850E+00     286 A       102 A        78 A   
  30.00 keV   4.451E-01  3.873E+00     306 A       108 A        82 A   
  32.50 keV   4.633E-01  3.890E+00     326 A       115 A        87 A   
  35.00 keV   4.808E-01  3.903E+00     346 A       121 A        92 A   
  37.50 keV   4.977E-01  3.912E+00     366 A       127 A        96 A   
  40.00 keV   5.140E-01  3.917E+00     386 A       133 A       101 A   
  45.00 keV   5.452E-01  3.921E+00     426 A       145 A       110 A   
  50.00 keV   5.747E-01  3.916E+00     465 A       157 A       118 A   
