 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\79Zn196Pt.txt

 Ion = Zinc [30] , Mass = 79 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.505E-02  7.530E-01      33 A        32 A        25 A   
  11.00 keV   4.725E-02  7.769E-01      36 A        34 A        26 A   
  12.00 keV   4.935E-02  7.988E-01      38 A        35 A        27 A   
  13.00 keV   5.137E-02  8.190E-01      40 A        37 A        29 A   
  14.00 keV   5.331E-02  8.377E-01      42 A        39 A        30 A   
  15.00 keV   5.518E-02  8.551E-01      43 A        40 A        31 A   
  16.00 keV   5.699E-02  8.713E-01      45 A        42 A        32 A   
  17.00 keV   5.874E-02  8.865E-01      47 A        43 A        34 A   
  18.00 keV   6.044E-02  9.008E-01      49 A        45 A        35 A   
  20.00 keV   6.371E-02  9.270E-01      53 A        48 A        37 A   
  22.50 keV   6.758E-02  9.559E-01      57 A        51 A        40 A   
  25.00 keV   7.123E-02  9.813E-01      62 A        55 A        43 A   
  27.50 keV   7.471E-02  1.004E+00      66 A        58 A        45 A   
  30.00 keV   7.803E-02  1.024E+00      71 A        61 A        48 A   
  32.50 keV   8.122E-02  1.042E+00      75 A        65 A        50 A   
  35.00 keV   8.428E-02  1.059E+00      79 A        68 A        53 A   
  37.50 keV   8.724E-02  1.074E+00      83 A        71 A        55 A   
  40.00 keV   9.010E-02  1.088E+00      87 A        74 A        58 A   
  45.00 keV   9.557E-02  1.112E+00      96 A        80 A        62 A   
  50.00 keV   1.007E-01  1.132E+00     104 A        86 A        67 A   
