 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Zinc in Lead.txt

 Ion = Zinc [30] , Mass = 79 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.466E-02  7.009E-01      65 A        64 A        49 A   
  11.00 keV   5.732E-02  7.233E-01      69 A        67 A        52 A   
  12.00 keV   5.987E-02  7.440E-01      73 A        70 A        55 A   
  13.00 keV   6.232E-02  7.630E-01      77 A        74 A        57 A   
  14.00 keV   6.467E-02  7.806E-01      81 A        77 A        60 A   
  15.00 keV   6.694E-02  7.970E-01      84 A        80 A        62 A   
  16.00 keV   6.914E-02  8.124E-01      88 A        83 A        65 A   
  17.00 keV   7.126E-02  8.268E-01      92 A        86 A        67 A   
  18.00 keV   7.333E-02  8.403E-01      95 A        89 A        69 A   
  20.00 keV   7.730E-02  8.650E-01     103 A        95 A        74 A   
  22.50 keV   8.198E-02  8.924E-01     111 A       102 A        79 A   
  25.00 keV   8.642E-02  9.166E-01     120 A       109 A        84 A   
  27.50 keV   9.064E-02  9.380E-01     128 A       115 A        90 A   
  30.00 keV   9.467E-02  9.573E-01     137 A       122 A        95 A   
  32.50 keV   9.853E-02  9.747E-01     145 A       128 A       100 A   
  35.00 keV   1.023E-01  9.904E-01     153 A       134 A       105 A   
  37.50 keV   1.058E-01  1.005E+00     161 A       141 A       109 A   
  40.00 keV   1.093E-01  1.018E+00     169 A       147 A       114 A   
  45.00 keV   1.159E-01  1.041E+00     185 A       159 A       123 A   
  50.00 keV   1.222E-01  1.061E+00     200 A       170 A       132 A   
