 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 05, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\7Li_Si.txt

 Ion = Lithium [3] , Mass = 7 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.715E-01  1.266E-01     691 A       409 A       322 A   
  11.00 keV   2.848E-01  1.224E-01     758 A       437 A       346 A   
  12.00 keV   2.974E-01  1.185E-01     826 A       464 A       370 A   
  13.00 keV   3.096E-01  1.148E-01     893 A       491 A       394 A   
  14.00 keV   3.213E-01  1.114E-01     960 A       516 A       417 A   
  15.00 keV   3.332E-01  1.083E-01    1027 A       540 A       439 A   
  16.00 keV   3.447E-01  1.053E-01    1093 A       563 A       460 A   
  17.00 keV   3.557E-01  1.025E-01    1159 A       586 A       482 A   
  18.00 keV   3.663E-01  9.993E-02    1224 A       607 A       502 A   
  20.00 keV   3.862E-01  9.516E-02    1354 A       648 A       542 A   
  22.50 keV   4.087E-01  8.990E-02    1514 A       696 A       589 A   
  25.00 keV   4.286E-01  8.528E-02    1673 A       740 A       634 A   
  27.50 keV   4.462E-01  8.119E-02    1829 A       782 A       677 A   
  30.00 keV   4.623E-01  7.754E-02    1985 A       821 A       719 A   
  32.50 keV   4.778E-01  7.425E-02    2139 A       858 A       758 A   
  35.00 keV   4.933E-01  7.127E-02    2291 A       893 A       796 A   
  37.50 keV   5.094E-01  6.856E-02    2442 A       926 A       833 A   
  40.00 keV   5.261E-01  6.608E-02    2591 A       957 A       868 A   
  45.00 keV   5.605E-01  6.169E-02    2881 A      1015 A       935 A   
