 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 11, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\82Kr_197Au.txt

 Ion = Krypton [36] , Mass = 82 amu

 Target Density =  1.9311E+01 g/cm3 = 5.9031E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.324E-02  8.451E-01      34 A        32 A        25 A   
  11.00 keV   6.633E-02  8.736E-01      36 A        34 A        26 A   
  12.00 keV   6.928E-02  8.998E-01      38 A        36 A        28 A   
  13.00 keV   7.211E-02  9.241E-01      40 A        37 A        29 A   
  14.00 keV   7.483E-02  9.466E-01      42 A        39 A        30 A   
  15.00 keV   7.746E-02  9.677E-01      44 A        40 A        31 A   
  16.00 keV   8.000E-02  9.874E-01      46 A        42 A        32 A   
  17.00 keV   8.246E-02  1.006E+00      47 A        43 A        34 A   
  18.00 keV   8.485E-02  1.023E+00      49 A        45 A        35 A   
  20.00 keV   8.944E-02  1.056E+00      53 A        47 A        37 A   
  22.50 keV   9.487E-02  1.091E+00      57 A        51 A        40 A   
  25.00 keV   1.000E-01  1.123E+00      61 A        54 A        42 A   
  27.50 keV   1.049E-01  1.151E+00      66 A        57 A        45 A   
  30.00 keV   1.095E-01  1.177E+00      70 A        61 A        47 A   
  32.50 keV   1.140E-01  1.200E+00      74 A        64 A        49 A   
  35.00 keV   1.183E-01  1.221E+00      78 A        67 A        52 A   
  37.50 keV   1.225E-01  1.241E+00      82 A        70 A        54 A   
  40.00 keV   1.265E-01  1.259E+00      86 A        73 A        56 A   
  45.00 keV   1.342E-01  1.290E+00      94 A        78 A        61 A   
  50.00 keV   1.414E-01  1.318E+00     101 A        84 A        65 A   
