 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 16, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\86Kr_150Nd.txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  7.0080E+00 g/cm3 = 2.8135E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Nd     60    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.146E-01  1.160E+00      81 A        66 A        50 A   
  11.00 keV   1.202E-01  1.197E+00      86 A        69 A        53 A   
  12.00 keV   1.255E-01  1.231E+00      91 A        73 A        55 A   
  13.00 keV   1.307E-01  1.262E+00      96 A        76 A        58 A   
  14.00 keV   1.356E-01  1.291E+00     101 A        79 A        60 A   
  15.00 keV   1.404E-01  1.318E+00     105 A        82 A        62 A   
  16.00 keV   1.450E-01  1.343E+00     110 A        86 A        65 A   
  17.00 keV   1.494E-01  1.367E+00     114 A        89 A        67 A   
  18.00 keV   1.538E-01  1.389E+00     119 A        92 A        69 A   
  20.00 keV   1.621E-01  1.430E+00     127 A        98 A        73 A   
  22.50 keV   1.719E-01  1.474E+00     138 A       105 A        79 A   
  25.00 keV   1.812E-01  1.514E+00     148 A       112 A        84 A   
  27.50 keV   1.900E-01  1.549E+00     159 A       119 A        88 A   
  30.00 keV   1.985E-01  1.581E+00     169 A       126 A        93 A   
  32.50 keV   2.066E-01  1.609E+00     179 A       132 A        98 A   
  35.00 keV   2.144E-01  1.635E+00     188 A       139 A       102 A   
  37.50 keV   2.219E-01  1.658E+00     198 A       145 A       106 A   
  40.00 keV   2.292E-01  1.680E+00     208 A       152 A       111 A   
  45.00 keV   2.431E-01  1.717E+00     227 A       164 A       119 A   
  50.00 keV   2.563E-01  1.749E+00     245 A       176 A       127 A   
