 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 06, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\8B_208Pb.txt

 Ion = Boron [5] , Mass = 8 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.144E-02  3.038E-02     180 A       278 A       204 A   
  11.00 keV   9.591E-02  3.062E-02     195 A       295 A       217 A   
  12.00 keV   1.002E-01  3.081E-02     210 A       312 A       230 A   
  13.00 keV   1.043E-01  3.095E-02     225 A       329 A       243 A   
  14.00 keV   1.082E-01  3.106E-02     239 A       345 A       255 A   
  15.00 keV   1.120E-01  3.113E-02     254 A       360 A       267 A   
  16.00 keV   1.157E-01  3.118E-02     269 A       376 A       279 A   
  17.00 keV   1.215E-01  3.121E-02     283 A       391 A       290 A   
  18.00 keV   1.270E-01  3.122E-02     297 A       405 A       301 A   
  20.00 keV   1.376E-01  3.119E-02     325 A       433 A       323 A   
  22.50 keV   1.496E-01  3.109E-02     360 A       465 A       348 A   
  25.00 keV   1.604E-01  3.093E-02     394 A       496 A       372 A   
  27.50 keV   1.701E-01  3.074E-02     428 A       525 A       394 A   
  30.00 keV   1.788E-01  3.052E-02     461 A       552 A       416 A   
  32.50 keV   1.865E-01  3.028E-02     495 A       579 A       437 A   
  35.00 keV   1.935E-01  3.003E-02     529 A       605 A       458 A   
  37.50 keV   1.999E-01  2.976E-02     563 A       631 A       478 A   
  40.00 keV   2.056E-01  2.950E-02     597 A       655 A       498 A   
  45.00 keV   2.158E-01  2.895E-02     665 A       703 A       537 A   
  50.00 keV   2.245E-01  2.841E-02     734 A       749 A       575 A   
