 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 05, 2019 
 ==================================================================

 Disk File Name = SRIM Outputs\8Li_206Pb.txt

 Ion = Lithium [3] , Mass = 8 amu

 Target Density =  1.1344E+01 g/cm3 = 3.3161E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.962E-02  1.984E-02     282 A       443 A       326 A   
  11.00 keV   5.204E-02  1.984E-02     307 A       473 A       349 A   
  12.00 keV   5.436E-02  1.981E-02     333 A       502 A       371 A   
  13.00 keV   5.658E-02  1.976E-02     358 A       531 A       393 A   
  14.00 keV   5.871E-02  1.970E-02     384 A       560 A       414 A   
  15.00 keV   6.077E-02  1.962E-02     409 A       587 A       436 A   
  16.00 keV   6.277E-02  1.953E-02     435 A       615 A       456 A   
  17.00 keV   6.472E-02  1.943E-02     461 A       641 A       477 A   
  18.00 keV   6.661E-02  1.933E-02     487 A       668 A       497 A   
  20.00 keV   7.026E-02  1.911E-02     539 A       718 A       537 A   
  22.50 keV   7.459E-02  1.882E-02     605 A       780 A       585 A   
  25.00 keV   7.869E-02  1.853E-02     670 A       840 A       632 A   
  27.50 keV   8.260E-02  1.822E-02     737 A       898 A       678 A   
  30.00 keV   8.634E-02  1.793E-02     803 A       954 A       722 A   
  32.50 keV   8.994E-02  1.763E-02     870 A      1009 A       766 A   
  35.00 keV   9.342E-02  1.734E-02     937 A      1062 A       808 A   
  37.50 keV   9.678E-02  1.706E-02    1004 A      1114 A       850 A   
  40.00 keV   1.000E-01  1.679E-02    1071 A      1164 A       890 A   
  45.00 keV   1.063E-01  1.627E-02    1207 A      1260 A       970 A   
