 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\92Mo_24Mg.txt

 Ion = Molybdenum [42] , Mass = 92 amu

 Target Density =  1.7366E+00 g/cm3 = 4.3027E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mg     12    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.363E-01  4.966E+00     152 A        50 A        38 A   
  11.00 keV   3.528E-01  5.101E+00     161 A        52 A        40 A   
  12.00 keV   3.684E-01  5.225E+00     169 A        55 A        42 A   
  13.00 keV   3.835E-01  5.337E+00     178 A        57 A        44 A   
  14.00 keV   3.980E-01  5.440E+00     186 A        59 A        46 A   
  15.00 keV   4.119E-01  5.535E+00     194 A        61 A        47 A   
  16.00 keV   4.254E-01  5.622E+00     202 A        63 A        49 A   
  17.00 keV   4.385E-01  5.704E+00     210 A        65 A        51 A   
  18.00 keV   4.512E-01  5.779E+00     218 A        67 A        53 A   
  20.00 keV   4.757E-01  5.916E+00     234 A        71 A        56 A   
  22.50 keV   5.045E-01  6.064E+00     253 A        76 A        60 A   
  25.00 keV   5.318E-01  6.192E+00     271 A        81 A        64 A   
  27.50 keV   5.577E-01  6.303E+00     289 A        86 A        67 A   
  30.00 keV   5.826E-01  6.400E+00     307 A        90 A        71 A   
  32.50 keV   6.063E-01  6.485E+00     324 A        94 A        75 A   
  35.00 keV   6.292E-01  6.560E+00     342 A        99 A        78 A   
  37.50 keV   6.513E-01  6.627E+00     359 A       103 A        82 A   
  40.00 keV   6.727E-01  6.687E+00     376 A       107 A        85 A   
  45.00 keV   7.135E-01  6.788E+00     409 A       115 A        92 A   
  50.00 keV   7.521E-01  6.868E+00     442 A       123 A        98 A   
