 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> June 18, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\92Mo_92Mo.txt

 Ion = Molybdenum [42] , Mass = 92 amu

 Target Density =  1.0206E+01 g/cm3 = 6.6805E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.250E-01  2.163E+00      41 A        27 A        19 A   
  11.00 keV   1.311E-01  2.233E+00      43 A        28 A        20 A   
  12.00 keV   1.369E-01  2.296E+00      45 A        29 A        21 A   
  13.00 keV   1.425E-01  2.355E+00      48 A        31 A        22 A   
  14.00 keV   1.479E-01  2.409E+00      50 A        32 A        23 A   
  15.00 keV   1.531E-01  2.460E+00      52 A        33 A        24 A   
  16.00 keV   1.581E-01  2.507E+00      54 A        34 A        25 A   
  17.00 keV   1.630E-01  2.551E+00      57 A        35 A        25 A   
  18.00 keV   1.677E-01  2.593E+00      59 A        37 A        26 A   
  20.00 keV   1.768E-01  2.669E+00      63 A        39 A        28 A   
  22.50 keV   1.875E-01  2.753E+00      68 A        41 A        30 A   
  25.00 keV   1.976E-01  2.828E+00      73 A        44 A        32 A   
  27.50 keV   2.073E-01  2.894E+00      78 A        47 A        34 A   
  30.00 keV   2.165E-01  2.953E+00      83 A        49 A        35 A   
  32.50 keV   2.253E-01  3.006E+00      87 A        51 A        37 A   
  35.00 keV   2.338E-01  3.055E+00      92 A        54 A        39 A   
  37.50 keV   2.420E-01  3.099E+00      97 A        56 A        41 A   
  40.00 keV   2.500E-01  3.139E+00     101 A        58 A        42 A   
  45.00 keV   2.651E-01  3.210E+00     110 A        63 A        46 A   
  50.00 keV   2.795E-01  3.270E+00     119 A        67 A        49 A   
